Filename,Date,Monkey,Task,dob,date_mature,Day_to_maturation,age,DI_1,DI_2,DI_3,DI_4,DI_5,DI_6,DI_7,DI_8,class_weight_1,class_weight_2,class_weight_3,class_weight_4,class_weight_5,class_weight_6,class_weight_7,class_weight_8,iqr_1,iqr_2,iqr_3,iqr_4,iqr_5,iqr_6,iqr_7,iqr_8,mad_1,mad_2,mad_3,mad_4,mad_5,mad_6,mad_7,mad_8,range_1,range_2,range_3,range_4,range_5,range_6,range_7,range_8,std_1,std_2,std_3,std_4,std_5,std_6,std_7,std_8,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,RT_7,RT_8,TP,age_group,mature_group,mature_group4,month_to_maturation,age_month,age_group4
oli001_1,13-Nov-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-385,1412,4.3713488143873,33.4808997864082,23.6431165104236,35.4936954328721,16.8745669326579,3.57422628244335,2.61708458932391,11.4954089043362,0.113207547169811,0.113207547169811,0.113207547169811,0.132075471698113,0.169811320754717,0.113207547169811,0.132075471698113,0.113207547169811,0.506302660364286,0.927443726232236,1.05280219215461,0.823876532501132,2.17286656291578,0.553761368286957,1.47561918333921,1.16647270012388,0.337275079651929,3.67528345113339,3.92996028613494,4.00571697645513,2.416735302952,0.333299464301562,0.990672272874492,1.71004155972761,1.12730194342426,13.8442515759497,15.2278557471408,16.9122671806278,12.668633435833,1.11366785322349,3.94638567194083,6.98671524808929,0.441325911773325,5.41970840375651,5.8136040289837,6.19517513613614,3.89596628113254,0.430965498643748,1.32593475548139,2.57902891961811,0.375333333333333,0.346,0.38,0.377142857142857,0.358222222222222,0.340666666666667,0.347428571428571,0.368666666666667,1,2,4,2,-12.6575342465753,46.4219178082192,1
oli002_1,14-Nov-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-384,1413,5.41359427543676,6.47808133583556,3.38961212888002,1.03522001248554,1.34130389810092,2.33396016763708,2.30812050719492,1.17850232102602,0.101694915254237,0.101694915254237,0.254237288135593,0.11864406779661,0.101694915254237,0.11864406779661,0.101694915254237,0.101694915254237,0.569190337851785,0.857826913055079,1.25063676438444,0.430044835444782,0.560846596973849,0.70893954214775,2.36323638165545,1.08801383384716,0.360007064475281,0.352477919536763,0.682959711709827,0.230605195880811,0.468069429239425,0.341046548026109,0.870381450771693,0.604706268893548,1.25184536110115,0.981216370093648,2.26813472316119,0.778161426421191,1.73487113049885,1.21220683069237,2.6065339894225,1.87965237822562,0.451304002269994,0.425550710200475,0.775879847335095,0.280504350438581,0.663935481020348,0.436886797993404,1.12069527356552,0.746252931965176,0.289333333333333,0.329333333333333,0.3256,0.305714285714286,0.312,0.288,0.328,0.314666666666667,1,2,4,2,-12.6246575342466,46.4547945205479,1
oli003_1,15-Nov-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-383,1414,3.54976637286509,28.8145422892334,4.97970934754474,7.42934790104513,2.4162856740994,2.9707791838636,4.00637381247672,1.73684735124391,0.103448275862069,0.137931034482759,0.229885057471264,0.114942528735632,0.103448275862069,0.103448275862069,0.103448275862069,0.103448275862069,0.592562736009025,1.40832211676853,0.825865953258682,0.829619430368197,0.785834764116891,0.538476684014109,0.844665753355696,0.326555856790004,0.353668891608775,1.55482196230625,0.452057434647424,0.679824778088502,0.351569807057614,0.412693678076375,0.748633224483755,0.213331234662264,1.55020405200828,6.09169770552556,2.25702807265144,2.88650436824569,1.1017263164192,2.0912907938453,3.81959816610707,0.998761900803171,0.494270505235888,2.05136789478975,0.561292500195316,0.932527702489419,0.424115440569126,0.620128329977265,1.18679015008138,0.300443263282606,0.293333333333333,0.315666666666667,0.3202,0.2936,0.291555555555556,0.298666666666667,0.307555555555555,0.300888888888889,1,2,4,2,-12.5917808219178,46.4876712328767,1
oli004_1,19-Nov-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-379,1418,11.8973437623404,7.62550257281755,4.93760070553875,2.44197285018677,1.31923270582203,3.47489821736561,0.894574073839474,10.8655062806389,0.108108108108108,0.108108108108108,0.175675675675676,0.108108108108108,0.135135135135135,0.121621621621622,0.108108108108108,0.135135135135135,0.471555641192349,1.55840365959508,1.12134094005718,0.89069719283907,0.291623961665845,1.08374574181161,0.360786617984606,0.732024586690598,0.385023989203132,0.707018402736768,0.48461059525998,0.473199473426561,0.210482152259426,0.497521090931553,0.19407188806053,1.46650964872856,2.03587221049828,1.97942425092585,1.76494820496433,1.60471456286597,0.952013208816018,1.23341464394882,0.619512544186307,8.19454661694682,0.574988306443044,0.817652197780629,0.580553060321881,0.574769862220375,0.285084567154586,0.545998537407616,0.224027795170966,2.45676323270992,0.304,0.3265,0.332923076923077,0.29,0.3044,0.296444444444444,0.309,0.3028,1,2,4,2,-12.4602739726027,46.6191780821918,1
oli005_1,20-Nov-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-378,1419,4.97014056044125,26.923867826109,23.9786025679781,1.21712968755163,0.609727778712118,3.28791279566839,2.09467294854054,2.05634174746606,0.10126582278481,0.126582278481013,0.240506329113924,0.10126582278481,0.10126582278481,0.10126582278481,0.10126582278481,0.126582278481013,1.36459115074001,1.20200077152434,0.573445596334373,0.496375708854563,0.195146686155952,0.878733727186464,0.578351363858924,0.608016371814124,0.619856949298974,2.05746671895488,1.64350528442644,0.296473489510834,0.230995454853662,0.485939660380498,0.298105742175639,0.356496111487307,1.82651192178028,12.3185276476797,16.0940737889572,1.08423163019155,1.25869718428311,1.74782173921168,1.05810252198501,1.51718571591338,0.727852647001524,3.66730025219851,3.52725032999227,0.365086367847056,0.390441633381639,0.614819038348366,0.394678336651793,0.456323821806441,0.292,0.332,0.333473684210526,0.304,0.2845,0.3085,0.3105,0.3108,1,2,4,2,-12.427397260274,46.6520547945205,1
oli006_1,21-Nov-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-377,1420,24.9737433425708,55.3577741185943,18.8503262250456,34.8781761234836,2.13109960414076,32.0981068918304,2.27228103844944,7.34335386756078,0.10126582278481,0.177215189873418,0.189873417721519,0.126582278481013,0.10126582278481,0.113924050632911,0.0886075949367089,0.10126582278481,1.48436486063902,1.0210250698992,1.00861664252224,1.095840799574,0.731757790905601,1.17855516153896,0.951791577434755,1.25107004285764,2.13489210968542,3.03995986700123,1.62390956838854,3.61111929302818,0.355017482515383,3.3626636779448,0.429605302119157,0.513050607591996,10.2582289796932,13.8668520198799,13.0024659742566,20.855110991929,1.22351407441433,17.7829403741402,0.982623524038031,1.38824738227807,3.34462160075872,4.52870193734518,3.22118013100107,6.38592298506849,0.460198164753415,5.70346846057965,0.482120994908004,0.60777131195815,0.3095,0.306857142857143,0.316533333333333,0.3024,0.3155,0.283111111111111,0.298285714285714,0.3145,1,2,4,2,-12.3945205479452,46.6849315068493,1
oli007_1,22-Nov-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-376,1421,32.9559623835425,38.7912508829779,56.9922569878088,3.65346984255862,31.3154591467014,2.29578507386162,1.82565473550905,3.34025033469348,0.1,0.133333333333333,0.244444444444444,0.1,0.122222222222222,0.1,0.1,0.1,1.24403104742218,2.08252092995359,1.03931443034705,0.636294922192706,0.624386086052976,0.812794853874652,0.294257302260494,0.697918756977024,3.61358189089159,2.58913337047774,2.66068915135208,0.371326018349966,4.64834016690219,0.392691602915603,0.499139637468686,0.403648790442439,19.4139748922596,17.615643152083,17.7389441585767,1.68478467325865,17.3812708253455,1.30668941013816,2.39595963579673,1.28868868019754,6.13435416376595,4.71560650709131,4.76965417818051,0.513025829423393,6.34728734806839,0.467155834971681,0.75298922686601,0.491184284777214,0.296444444444444,0.322666666666667,0.315090909090909,0.281333333333333,0.312727272727273,0.289777777777778,0.331555555555555,0.288888888888889,1,2,4,2,-12.3616438356164,46.7178082191781,1
oli008_1,03-Dec-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-365,1432,39.3967454494893,158.256777220552,48.273943498174,5.75927218489712,95.588496597197,17.7141962028774,20.1749566756556,14.6304825934606,0.111111111111111,0.135802469135802,0.197530864197531,0.0987654320987654,0.111111111111111,0.123456790123457,0.111111111111111,0.111111111111111,3.67807600555468,5.96719616133652,2.60439357707356,1.02574255517379,4.04516903073692,3.00866131805981,0.670964326644282,1.5453526751885,2.90477318595774,3.56122171428223,3.12927581991025,0.616540624643847,3.44084261975681,1.61216703598276,1.39620564325159,1.14700291526414,10.9805199575168,14.6315998492764,25.5460040695139,2.47590999798926,11.2157755340987,7.63917342900481,8.00227153307877,5.64081718706179,3.84841809561979,4.52256355121521,6.05798298764704,0.816102087996992,4.45947828526101,2.24652513006535,2.40631252561451,1.67972330450165,0.329333333333333,0.344363636363636,0.3545,0.3065,0.336888888888889,0.3212,0.337777777777778,0.349777777777778,1,2,4,2,-12,47.0794520547945,1
oli009_1,04-Dec-2019,OLI,ODR3,01-Jan-2016,02-Dec-2020,-364,1433,7.12713521185918,6.2223269621035,33.8102598038002,2.72955604732181,259.482040538123,10.4361093313811,2.39841898501194,2.11901581840002,0.0845070422535211,0.112676056338028,0.309859154929577,0.154929577464789,0.0985915492957746,0.0845070422535211,0.0845070422535211,0.0704225352112676,1.02765479912413,1.27008956602051,1.45749804122507,0.800827646273953,6.8628406975512,1.03425515266786,0.518188473375986,0.66581195845672,0.422231322640372,0.825265841722675,2.58175525877077,0.401605872403846,4.00950143260096,1.66856357824216,0.681454964184665,0.338941587213259,1.49696924236852,2.86273095420297,16.7144436711714,1.46412579821372,11.7299407109851,7.13640497841499,2.63936845065512,0.981576444083682,0.574308612335777,1.05686073706939,4.42727358150157,0.484430727170926,4.8627097956973,2.54011506906991,1.02469691382072,0.41979454274555,0.306,0.309,0.302545454545455,0.303272727272727,0.309142857142857,0.307333333333333,0.31,0.3352,1,2,4,2,-11.9671232876712,47.1123287671233,1
oli010_1,05-Dec-2019,OLI,ODR,01-Jan-2016,02-Dec-2020,-363,1434,2.79535207867843,23.4428044028364,66.2557169300346,21.2281334441817,24.1899693031452,26.7994750764797,3.69833226565686,5.82728000644758,0.0792079207920792,0.178217821782178,0.198019801980198,0.099009900990099,0.0891089108910891,0.138613861386139,0.138613861386139,0.0792079207920792,0.844064583025402,1.42359433440265,1.07610538340283,0.68903441512582,1.08212280081237,1.46466335082369,0.6350242702816,0.911459835788936,0.532308224862851,1.26288426861669,3.01300617984257,2.97635267090112,3.33183190377768,2.84751322539498,0.850770505923525,0.715311874997626,2.29814480390774,10.4363085833198,18.4224968049807,17.6990671177129,17.5166462236596,22.3648199854144,6.0842283237479,3.09459557394698,0.733134381797299,2.30232610590666,5.13311943268361,5.25638272087548,5.65102902944407,5.68116278628321,1.51420768459855,0.992874061791304,0.3065,0.3,0.3174,0.3248,0.331555555555555,0.307142857142857,0.319142857142857,0.292,1,2,4,2,-11.9342465753425,47.1452054794521,1
