Filename,Date,Monkey,Task,dob,date_mature,Day_to_maturation,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,percorr_class_9,percorr_class_10,percorr_class_11,percorr_class_12,percorr_class_13,percorr_class_14,percorr_class_15,percorr_class_16,percorr_class_17,percorr_class_18,percorr_class_19,percorr_class_20
oli015_2,10-Jan-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-327,1470,0.72463768115942,0.909090909090909,0.909090909090909,1,1,0.909090909090909,0.714285714285714,0.588235294117647,0.263157894736842,0.714285714285714,0.5,0.714285714285714,0.909090909090909,0.769230769230769,0.909090909090909,1,0.666666666666667,0.833333333333333,0.909090909090909,0.909090909090909,0.833333333333333
oli016_2,14-Jan-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-323,1474,0.688461538461538,0.818181818181818,0.9,1,0.9,1,0.5625,0.307692307692308,0.529411764705882,0.642857142857143,0.6,0.5625,1,0.75,0.9,0.9,0.6,0.529411764705882,0.692307692307692,0.818181818181818,0.9
oli017_2,15-Jan-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-322,1475,0.725563909774436,0.909090909090909,1,0.75,0.714285714285714,0.714285714285714,0.769230769230769,0.769230769230769,0.666666666666667,0.9,0.909090909090909,1,1,1,0.9,1,0.375,0.36,0.428571428571429,1,0.714285714285714
oli018_2,16-Jan-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-321,1476,0.76555023923445,0.666666666666667,0.8,0.8,0.888888888888889,0.8,0.888888888888889,0.533333333333333,0.8,0.571428571428571,0.8,0.8,0.888888888888889,0.8,0.888888888888889,1,0.727272727272727,0.727272727272727,1,0.666666666666667,0.666666666666667
oli019_2,17-Jan-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-320,1477,0.796812749003984,0.909090909090909,1,1,0.909090909090909,0.909090909090909,0.555555555555556,0.625,0.666666666666667,0.833333333333333,0.666666666666667,0.909090909090909,1,0.909090909090909,0.909090909090909,1,0.526315789473684,0.833333333333333,0.714285714285714,0.833333333333333,0.833333333333333
oli021_2,22-Jan-2020,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-315,1482,0.786407766990291,0.666666666666667,1,1,0.666666666666667,0.8,1,1,1,0.666666666666667,0.8,0.833333333333333,1,1,1,1,0.666666666666667,0.444444444444444,0.666666666666667,0.571428571428571,0.8
oli022_2,23-Jan-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-314,1483,0.914414414414414,0.909090909090909,1,0.916666666666667,1,1,0.833333333333333,0.833333333333333,0.833333333333333,0.909090909090909,0.833333333333333,1,0.909090909090909,0.833333333333333,1,1,1,0.846153846153846,0.833333333333333,0.909090909090909,1
oli023_2,24-Jan-2020,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-313,1484,0.809716599190283,0.909090909090909,0.769230769230769,0.588235294117647,0.714285714285714,0.909090909090909,0.909090909090909,0.833333333333333,0.714285714285714,0.909090909090909,0.909090909090909,0.714285714285714,0.769230769230769,0.714285714285714,0.909090909090909,1,0.909090909090909,1,0.588235294117647,0.909090909090909,0.909090909090909
oli024_2,15-Jun-2020,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-170,1627,0.535714285714286,0.428571428571429,0.6,0.333333333333333,1,0.75,1,1,1,0.6,1,1,1,0.333333333333333,1,1,0.136363636363636,0.75,0.230769230769231,0.75,1
oli026_2,17-Jun-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-168,1629,0.695652173913043,0.8,0.888888888888889,0.8,0.888888888888889,0.888888888888889,0.888888888888889,0.666666666666667,0.533333333333333,0.727272727272727,1,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.8,0.363636363636364,0.285714285714286,0.8,0.727272727272727,0.727272727272727
oli027_2,18-Jun-2020,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-167,1630,0.666666666666667,0.8,0.8,0.666666666666667,1,1,1,1,1,1,1,0.444444444444444,1,1,1,0.666666666666667,0.210526315789474,0.307692307692308,0.5,0.8,1
oli028_2,19-Jun-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-166,1631,0.840336134453782,0.833333333333333,0.833333333333333,0.909090909090909,1,0.909090909090909,0.909090909090909,0.833333333333333,0.769230769230769,0.714285714285714,0.833333333333333,0.714285714285714,0.909090909090909,0.909090909090909,1,0.909090909090909,0.555555555555556,0.833333333333333,0.769230769230769,1,1
oli029_2,23-Jun-2020,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-162,1635,0.654205607476635,0.4375,0.411764705882353,0.35,1,0.636363636363636,1,1,0.777777777777778,1,1,1,0.875,0.368421052631579,0.875,0.636363636363636,0.7,0.583333333333333,0.5,0.875,0.777777777777778
oli030_2,24-Jun-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-161,1636,0.816326530612245,0.769230769230769,0.833333333333333,0.909090909090909,0.909090909090909,1,1,0.909090909090909,0.625,0.909090909090909,0.909090909090909,1,1,1,1,0.909090909090909,0.5,0.555555555555556,0.833333333333333,0.666666666666667,0.769230769230769
oli031_2,25-Jun-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-160,1637,0.87719298245614,0.909090909090909,0.769230769230769,1,1,0.909090909090909,0.833333333333333,0.769230769230769,0.625,0.909090909090909,1,0.833333333333333,1,0.909090909090909,0.909090909090909,0.909090909090909,0.833333333333333,1,0.833333333333333,0.909090909090909,0.909090909090909
oli032_2,26-Jun-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-159,1638,0.869565217391304,0.909090909090909,0.769230769230769,0.909090909090909,0.909090909090909,1,0.769230769230769,0.833333333333333,0.769230769230769,1,1,0.909090909090909,0.909090909090909,0.909090909090909,1,1,0.909090909090909,0.666666666666667,0.833333333333333,0.909090909090909,0.714285714285714
