Filename,Date,Monkey,Task,dob,date_mature,Day_to_maturation,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,ID,age_group4,mature_group4,month_to_maturation,age_month
oli024_1,15-Jun-2020,OLI,ODR,01-Jan-2016,02-Dec-2020,-170,1627,0.444444444444444,0.461538461538462,0.545454545454545,0.375,0.666666666666667,0.5,0.857142857142857,0.272727272727273,0.333333333333333,OLI,2,3,-5.58904109589041,53.4904109589041
oli025_1,16-Jun-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-169,1628,0.851851851851852,1,1,0.8,0.9,0.8,1,0.5625,1,OLI,2,3,-5.55616438356164,53.5232876712329
oli025_2,16-Jun-2020,OLI,ODR,01-Jan-2016,02-Dec-2020,-169,1628,0.769230769230769,0.769230769230769,0.714285714285714,0.689655172413793,0.869565217391304,0.769230769230769,0.833333333333333,0.909090909090909,0.666666666666667,OLI,2,3,-5.55616438356164,53.5232876712329
oli026_1,17-Jun-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-168,1629,0.889908256880734,1,0.923076923076923,0.764705882352941,1,0.857142857142857,0.857142857142857,0.923076923076923,0.857142857142857,OLI,2,3,-5.52328767123288,53.5561643835616
oli027_1,18-Jun-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-167,1630,0.984615384615385,1,1,0.888888888888889,1,1,1,1,1,OLI,2,3,-5.49041095890411,53.5890410958904
oli028_1,19-Jun-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-166,1631,0.927536231884058,1,0.888888888888889,1,1,1,0.8,0.8,1,OLI,2,3,-5.45753424657534,53.6219178082192
oli029_1,23-Jun-2020,OLI,ODR,01-Jan-2016,02-Dec-2020,-162,1635,0.909090909090909,1,0.909090909090909,1,0.909090909090909,1,0.909090909090909,0.714285714285714,0.909090909090909,OLI,2,3,-5.32602739726027,53.7534246575342
oli030_1,24-Jun-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-161,1636,0.941176470588235,0.888888888888889,0.8,1,1,1,1,1,0.888888888888889,OLI,2,3,-5.29315068493151,53.786301369863
oli031_1,25-Jun-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-160,1637,0.96969696969697,1,0.888888888888889,0.888888888888889,1,1,1,1,1,OLI,2,3,-5.26027397260274,53.8191780821918
oli032_1,26-Jun-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-159,1638,0.985507246376812,1,1,0.888888888888889,1,1,1,1,1,OLI,2,3,-5.22739726027397,53.8520547945205
oli033_1,01-Jul-2020,OLI,ODR,01-Jan-2016,02-Dec-2020,-154,1643,0.927536231884058,1,1,1,1,1,0.888888888888889,0.727272727272727,0.888888888888889,OLI,2,3,-5.06301369863014,54.0164383561644
oli034_1,02-Jul-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-153,1644,0.970149253731343,1,0.888888888888889,1,1,1,1,0.888888888888889,1,OLI,2,3,-5.03013698630137,54.0493150684931
oli035_1,10-Nov-2020,OLI,ODR,01-Jan-2016,02-Dec-2020,-22,1775,0.914285714285714,1,1,0.8,0.8,0.888888888888889,1,1,0.888888888888889,OLI,3,3,-0.723287671232877,58.3561643835616
oli036_1,11-Nov-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-21,1776,0.971428571428571,1,1,0.9,1,0.9,1,1,1,OLI,3,3,-0.69041095890411,58.3890410958904
