mature,age,ID,age_group,mature_group,delay,sess,rate_1,rate_2,rate_3,sd_1,sd_2,sd_3,cv_1,cv_2,cv_3,rate_adj_1,rate_adj_2,rate_adj_3
4.832876712,63.91232877,OLI,4,3,3,oli052_1,5.582934399,3.919439496,4.46768245,0.499751923,0.25,0.189491918,3.553791449,8,2.798649864,2.116402037,1.892768731,1.972129718
4.898630137,63.97808219,OLI,4,3,3,oli054_1,1.369230769,1.384615385,1.358974359,1.11199751,1.692744699,0.720020477,0.812133013,1.222537838,0.529826389,1.407936618,1.411693361,1.405424259
5.030136986,64.10958904,OLI,4,4,1.5,oli055_1,2.655543582,3.15454023,2.87901341,0.691322347,1.296745009,0.516056134,2.106887152,2.440931782,1.376149689,1.681540022,1.770335278,1.722283488
5.063013699,64.14246575,OLI,4,4,3,oli056_1,3.375,3.4375,3.337239583,2.315407332,3.269477654,1.667162625,0.43584138,0.584487625,0.302547471,1.807186825,1.817391775,1.800970486
5.095890411,64.17534247,OLI,4,4,3,oli057_1,2.835760896,3.273317768,2.947574433,2.89254481,2.136000936,0.940936529,2.468304904,2.35696655,1.61303405,1.714526081,1.790358421,1.734458033
5.128767123,64.20821918,OLI,4,4,3,oli058_1,0.140625,0.1875,0.130208333,0.350382444,0.687184271,0.276136021,2.491608491,3.664982778,2.120724644,1.050439324,1.066702486,1.046789086
5.260273973,64.33972603,OLI,4,4,1.5,oli059_1,6.398290598,6.338461538,5.558974359,6.643207925,4.922866582,1.707387168,0.750971331,0.803985748,0.990894338,2.210093903,2.203509604,2.113511535
5.293150685,64.37260274,OLI,4,4,3,oli060_1,4.223076923,5.184615385,3.855128205,1.586147971,2.514190495,1.105662388,0.747098682,1.075147251,0.513343252,1.937497541,2.067229428,1.883032729
5.326027397,64.40547945,OLI,4,4,3,oli061_1,2.474785479,2.091017669,2.125611432,1.882915837,2.99788189,1.317472205,0.678317507,0.944984509,0.529423011,1.647324526,1.570551439,1.57771879
5.35890411,64.43835616,OLI,4,4,3,oli062_1,6.333333333,7.833333333,7.888888889,4.898979486,8.602325267,5.548759537,0.773523077,1.098169183,0.703363885,2.202943213,2.356278944,2.361530255
5.490410959,64.56986301,OLI,4,4,1.5,oli063_1,3.983333333,4.408333333,3.847222222,0.686873257,0.769615289,0.437227734,2.289577525,2.198900824,2.017974156,1.902348566,1.96383639,1.881829283
5.523287671,64.60273973,OLI,4,4,3,oli064_1,2.325801749,1.587463557,1.713313897,1.150945405,0.454415566,0.158910432,1.342769639,4.241211948,1.906925178,1.618215988,1.459950267,1.488759728
5.556164384,64.63561644,OLI,4,4,3,oli065_1,1.357492997,1.707107843,1.350665266,0.856806657,1.891985159,0.981972582,1.618412574,1.929824863,1.444632741,1.40506087,1.487358336,1.403384267
5.589041096,64.66849315,OLI,4,4,3,oli066_1,0.580357143,0.380952381,0.518849206,1.611645928,1.637229208,0.736959747,0.981001869,1.273400495,0.425461297,1.19350995,1.131155052,1.174687454
10.1260274,69.20547945,OLI,4,4,3,oli070_1,5.571729651,5.365915698,4.595857558,5.02884823,6.566962768,3.614734879,1.109814782,1.522773975,0.953336671,2.115051354,2.089911233,1.989809377
10.15890411,69.23835616,OLI,4,4,3,oli071_1,4.851348039,4.711729692,4.663488173,1.436536238,1.737291518,0.787600313,1.346752723,1.002283568,0.713597599,2.024144172,2.005527409,1.999013447
10.32328767,69.40273973,OLI,4,4,1.5,oli072_1,4.375,4.24537037,4.169753086,0.883627241,0.884651737,0.605264079,1.63131183,1.769303474,1.281735697,1.959148115,1.940704078,1.929785836
10.35616438,69.43561644,OLI,4,4,3,oli073_1,4.3046875,3.359375,3.924479167,0.927827083,1.237236424,0.49554341,1.041770759,1.885312646,1.06903747,1.94918611,1.804619232,1.89352769
-30.90410959,46.65205479,PIC,2,1,3,pic001_1,0.09178744,0.06763285,0.062801932,0,0,0.040128618,NaN,NaN,8.306623863,1.033209134,1.02457625,1.022840694
-30.83835616,46.71780822,PIC,2,1,3,pic003_1,0.953125,0.75,0.671875,1.146833979,1.208435956,0.487921798,1.20323565,1.611247942,0.726209187,1.300574921,1.243659321,1.220876182
-30.24657534,47.30958904,PIC,2,1,3,pic007_1,2.034722222,2.222222222,2.166666667,3.478849467,3.802761222,1.498554596,0.57383084,0.577634616,0.231040537,1.55877685,1.597467361,1.586158742
-30.21369863,47.34246575,PIC,2,1,3,pic008_1,0.028985507,0.057971014,0.096618357,0.240771706,0.337989644,0.181690044,8.306623863,5.830321351,1.880491957,1.010606722,1.02110212,1.034926803
-30.18082192,47.37534247,PIC,2,1,1.5,pic009_1,0.21875,0.28125,0.09375,0.486932413,1.588337955,0.233588296,2.225976744,5.647423841,2.491608491,1.077399489,1.098456219,1.033907293
-30.01643836,47.53972603,PIC,2,1,3,pic010_1,11.70964715,9.973723724,7.343906406,10.15103657,9.385312146,4.367425757,0.361142647,0.393714909,0.245709204,2.66916584,2.540972311,2.308784659
-29.95068493,47.60547945,PIC,2,1,3,pic012_1,0.070895522,0.194029851,0.083333333,0,0.244338889,0.098483399,NaN,8.185352772,4.948790792,1.025746696,1.068947157,1.030196094
-29.78630137,47.76986301,PIC,2,1,1.5,pic013_1,3.754385965,5.824561404,2.888888889,3.355596082,5.254667337,2.261946533,0.893780265,0.902156742,0.782981492,1.867588356,2.145093884,1.724046264
-29.75342466,47.80273973,PIC,2,1,3,pic014_1,2.852380952,4.066666667,3.433333333,0.710902963,0.828578568,0.279710324,2.927247495,3.222249986,2.17552474,1.717514038,1.914706702,1.816714675
-24.62465753,52.93150685,PIC,2,1,3,pic018_1,0.140625,0.34375,0.40625,0.350382444,0.97945158,0.487837072,2.491608491,2.849313686,1.200829716,1.050439324,1.119078692,1.139284457
-24.49315068,53.0630137,PIC,2,1,1.5,pic019_1,0.203125,0.375,0.229166667,0.568475754,0.863731293,0.415209091,2.798649864,2.303283447,1.811821487,1.072065291,1.129232608,1.080939879
-24.46027397,53.09589041,PIC,2,1,3,pic020_1,1.1328125,0.9375,1.817708333,0.48972579,0.350736187,0.329633903,2.849313686,5.611778995,1.710532683,1.348357349,1.296309977,1.512043398
-24.42739726,53.12876712,PIC,2,1,3,pic021_1,2.409134615,2.5625,2.494791667,5.909368403,6.201638288,4.398243873,1.125593981,1.15379317,0.891724206,1.634601915,1.66407416,1.651169604
-24.39452055,53.16164384,PIC,2,1,3,pic022_1,1.809375,1.0875,1.082291667,1.02824689,1.164538876,0.457129251,1.115386457,1.961328633,0.790710055,1.510204549,1.336521444,1.335151975
-24.2630137,53.29315068,PIC,2,1,1.5,pic023_1,0.530864198,0.485596708,0.672153635,0.353553391,0.527046277,0.439946374,3.181980515,3.557562368,3.340842778,1.178392201,1.164362118,1.220958368
-24.23013699,53.3260274,PIC,2,1,3,pic024_1,0.361502347,0.281690141,0.175273865,0.88470118,0.616343472,0.26342768,2.991132559,4.376038652,1.516489077,1.124859522,1.098602945,1.06248609
-24.16438356,53.39178082,PIC,2,1,3,pic026_1,0.7734375,0.6953125,0.4609375,0.125,0,0.114530712,8,NaN,3.664982778,1.250394259,1.227765791,1.156635672
-24,53.55616438,PIC,2,1,3,pic028_1,17.91666667,23.64583333,15.05208333,6.17526749,15.4051115,6.072596889,0.340118003,0.547737298,0.397931264,3.026986167,3.272003811,2.877532191
-23.93424658,53.62191781,PIC,2,1,3,pic030_1,1.892307692,1.338461538,1.494871795,1.349501332,1.11199751,0.719946282,2.039943875,3.011659922,1.613672702,1.528355728,1.400380525,1.438211446
-20.31780822,57.23835616,PIC,3,1,1.5,pic031_1,2.210526316,3.131578947,2.464912281,1.602629418,7.894879531,1.423692588,0.724999023,2.521053968,0.57758347,1.595097203,1.766417862,1.64542149
-20.28493151,57.27123288,PIC,3,1,3,pic032_1,5.882352941,4.558823529,4.384803922,3.971805816,4.517355081,1.651075745,0.419383223,0.583992672,0.211969447,2.151836011,1.984733167,1.960529302
-20.12054795,57.43561644,PIC,3,1,1.5,pic033_1,3.3515625,2.4375,2.885416667,0.946877701,1.588337955,1.51618982,3.564716051,5.647423841,4.158692077,1.803332959,1.64011877,1.723426825
-20.05479452,57.50136986,PIC,3,1,3,pic035_1,6.493303571,9.5625,6.683779762,7.411498333,15.54891794,6.124550068,0.621672206,0.6732955,0.511934529,2.220461974,2.508035588,2.240928983
-19.85753425,57.69863014,PIC,3,1,3,pic036_1,3.258261494,3.826867816,2.811242816,2.111946368,2.619940324,1.073867374,0.625761887,0.783533555,0.305455609,1.787842361,1.878724263,1.710101852
-19.66027397,57.89589041,PIC,3,1,1.5,pic037_1,2.749450549,3.617582418,2.641758242,2.179670053,4.362867794,1.810876446,0.632493542,0.932850022,0.580790966,1.698863974,1.846226228,1.678971451
-19.62739726,57.92876712,PIC,3,1,3,pic038_1,9.375,8.794871795,8.983974359,5.198147657,4.541579316,3.819476781,1.658304774,1.533520289,1.300957157,2.492650078,2.443490175,2.45978166
-19.43013699,58.1260274,PIC,3,1,1.5,pic040_1,3.666755664,4.021458078,3.737629648,1.303145861,1.782092907,1.02226499,1.250315623,1.622161493,1.344089154,1.853957361,1.908021335,1.864996219
-19.39726027,58.15890411,PIC,3,1,3,pic041_1,19.71176471,30.30588235,25.44705882,6.782637417,17.93665079,11.57768546,0.185303071,0.320802802,0.246565177,3.110401423,3.497239541,3.338092167
-19.36438356,58.19178082,PIC,3,1,3,pic042_1,41.3671875,48.0703125,41.90104167,13.18284682,22.5792915,8.536646802,0.15868012,0.212448494,0.101200061,3.786130234,3.927671808,3.798167027
-19.33150685,58.22465753,PIC,3,1,3,pic043_1,28.21964286,37.12380952,33.96944444,5.186395791,9.878219515,3.692739845,0.62594432,0.611925103,0.287612561,3.431982767,3.684923925,3.602442265
-19.16712329,58.3890411,PIC,3,1,3,pic045_1,18.96875,21.22395833,15.85763889,5.056820006,8.893550365,5.022675105,0.603799404,0.748930557,0.642474097,3.07671447,3.17564427,2.921866157
-19.13424658,58.42191781,PIC,3,1,3,pic046_1,8.236979167,8.947916667,6.125,6.417285066,6.376731013,4.41097267,1.477360591,1.925050872,1.660601476,2.393819797,2.456695643,2.179658055
-19.10136986,58.45479452,PIC,3,1,3,pic047_1,11.25934628,18.05677932,13.88728168,13.11441372,15.0343522,12.11873577,0.8976711,0.462595452,0.533179942,2.637458059,3.033753284,2.80973779
-18.96986301,58.58630137,PIC,3,1,1.5,pic048_1,4.56302521,6.43697479,5.572362278,1.125114373,2.252319066,1.280658872,1.275129623,1.367479433,1.224630046,1.985310384,2.214328208,2.115127663
-18.9369863,58.61917808,PIC,3,2,3,pic049_1,5.475,6.108333333,5.047222222,31.91122972,29.86789479,25.91833843,2.287543349,1.939473688,1.972226133,2.103314529,2.177771607,2.049691368
-18.90410959,58.65205479,PIC,3,2,3,pic050_1,2.547619048,2.96969697,1.731601732,1.495915184,1.830332361,0.92714398,1.645506702,1.72574194,0.941407734,1.661252238,1.738354965,1.49287793
-18.87123288,58.68493151,PIC,3,2,3,pic051_1,2.703571429,2.596428571,2.304761905,1.241107611,1.263909947,0.66328255,2.20641353,1.944476842,1.170498618,1.690437686,1.670478523,1.614036071
-15.05753425,62.49863014,PIC,4,2,1.5,pic052_1,3.15234375,2.947916667,3.045138889,3.591076904,2.791533401,2.221998997,2.672429324,2.178757777,1.358674546,1.7699612,1.734518433,1.751531173
-15.02465753,62.53150685,PIC,4,2,3,pic053_1,5.806307208,5.267203894,4.530848283,11.05378479,8.744715919,6.193923576,0.625096218,0.544276924,0.454878108,2.142954815,2.077625609,1.980881477
-14.95890411,62.59726027,PIC,4,2,3,pic055_1,4.59,4.929285714,4.245714286,0.547722558,0.768706115,0.290729788,2.19089023,3.074824459,1.575567882,1.989008202,2.034387629,1.940753464
-14.82739726,62.72876712,PIC,4,2,1.5,pic056_1,2.442708333,2.166666667,2.184027778,0.475334051,0.786795792,0.468472508,4.345911326,6.29436634,4.088487338,1.641128453,1.586158742,1.589706442
-14.79452055,62.76164384,PIC,4,2,3,pic057_1,9.70960961,8.906306306,7.79019019,21.66115757,20.71769747,18.13152248,1.271692225,1.284154802,1.349741127,2.519943256,2.453122522,2.352181791
-14.76164384,62.79452055,PIC,4,2,3,pic058_1,10.03627582,10.02722578,9.38875831,1.09460709,1.707825128,0.787618444,0.886770301,1.607364826,0.752351946,2.54588867,2.545178865,2.493787113
-14.56438356,62.99178082,PIC,4,2,1.5,pic059_1,4.27054289,4.431482696,4.264241977,1.480614979,1.167167302,0.359237681,5.835364915,3.007700356,2.005743717,1.944312405,1.967079423,1.943410428
-14.49863014,63.05753425,PIC,4,2,3,pic061_1,5.310304164,6.060293998,4.014330541,5.626058102,6.703469843,4.017484796,0.496645129,0.501194007,0.36265025,2.083008422,2.172314188,1.906963236
-14.36712329,63.1890411,PIC,4,2,1.5,pic062_1,3.001953125,4.30078125,4.119791667,1.271540592,1.901336205,0.945552571,0.875038687,1.216855171,0.601146006,1.74400988,1.948629745,1.922506039
-14.33424658,63.22191781,PIC,4,2,3,pic063_1,7.548148148,8.354166667,6.821566358,4.521443617,6.101977301,3.534407438,1.491610265,1.654773505,1.327996532,2.328879347,2.404459905,2.255477572
-14.30136986,63.25479452,PIC,4,2,3,pic064_1,1.010416667,1.052083333,1.038194444,1.18008861,1.468924128,0.523584006,1.034598233,1.516308778,0.461138207,1.316059244,1.327171857,1.323481357
-14.1369863,63.41917808,PIC,4,2,1.5,pic065_1,5.4234375,5.834375,5.488541667,3.20960859,2.129721645,2.686250017,1.510404042,1.793449806,1.322461547,2.097001377,2.146241975,2.104965942
-14.10410959,63.45205479,PIC,4,2,3,pic066_1,5.518229167,7.713541667,5.969618056,8.622368474,11.20263397,7.457344899,0.424485833,0.505619587,0.357952555,2.108576831,2.344861085,2.16193124
-14.07123288,63.48493151,PIC,4,2,3,pic067_1,6.33203125,6.33203125,6.157552083,0.442922742,0.62915287,0.271354302,2.180542731,2.876127404,1.447222942,2.202799351,2.202799351,2.183332293
-14.03835616,63.51780822,PIC,4,2,3,pic068_1,5.80271251,6.542010234,5.857834517,10.40663153,10.19169795,7.935754943,0.596558495,0.491034698,0.422281008,2.14253304,2.225735588,2.148981171
-20.02191781,46.02739726,ROS,1,1,3,ros012_1,0.21875,0.328125,0.2578125,0.700764888,1.359490451,0.566168471,3.203496632,3.954881311,1.811739106,1.077399489,1.113962807,1.090611813
-19.89041096,46.15890411,ROS,1,1,1.5,ros013_1,2.9625,2.558333333,2.694444444,0.309143365,0,0.074535599,4.121911536,NaN,8.94427191,1.737088869,1.663284824,1.688752898
-19.85753425,46.19178082,ROS,1,1,3,ros014_1,0.78125,0.541666667,0.574652778,1.375721312,1.548168401,0.79432511,0.989282741,1.376149689,0.719388779,1.252629196,1.181711396,1.191779145
-19.82465753,46.22465753,ROS,1,1,3,ros015_1,7.370328928,6.643990508,6.541355179,10.13892642,12.13738631,7.815816611,0.70104032,0.93044037,0.69728324,2.31140714,2.236688032,2.225664848
-19.66027397,46.3890411,ROS,2,1,1.5,ros016_1,0.78125,0.65625,0.858333333,1.499736264,1.60300351,0.618002317,3.427968603,6.41201404,2.004331838,1.252629196,1.216256597,1.274416868
-19.62739726,46.42191781,ROS,2,1,3,ros017_1,1.015625,0.81875,1.007291667,0.733955364,1.227980663,0.434378826,1.381563038,1.96476906,0.656698698,1.317455093,1.263287909,1.315220798
-19.59452055,46.45479452,ROS,2,1,3,ros018_1,2.04375,1.4625,0.8625,0.958980113,1.112251399,0.569662173,1.805139036,2.372802985,1.139324346,1.560674432,1.430498269,1.275581164
-19.39726027,46.65205479,ROS,2,1,3,ros020_1,2.55,2.208333333,2.584722222,1.559779277,1.981560566,1.018111307,0.843123933,1.200945798,0.56692973,1.661704281,1.594652172,1.668273462
-19.36438356,46.68493151,ROS,2,1,3,ros021_1,1.097142857,0.645714286,0.712380952,2.214248981,2.110998508,0.97972311,0.714273865,1.012122572,0.384564212,1.339051978,1.213129587,1.232753473
-17.81917808,48.23013699,ROS,2,2,1.5,ros025_1,1.3203125,1.139939693,1.253472222,0.380254197,1.152980954,0.587944736,2.212388052,2.635385037,2.351778943,1.395896693,1.350206332,1.379207823
-17.75342466,48.29589041,ROS,2,2,3,ros026_1,6.292929293,6.313131313,4.765993266,4.20003885,6.414508613,2.804005164,0.885631195,0.984552485,0.785280088,2.198469482,2.200708849,2.012804165
-17.3260274,48.72328767,ROS,2,2,1.5,ros028_1,3.002797068,2.58912037,2.989519033,7.295356209,7.752047861,6.079100869,0.757959087,0.908664951,0.693104137,1.744157406,1.669102487,1.741833811
-17.29315068,48.75616438,ROS,2,2,3,ros029_1,2.3125,2.40625,2.46875,1.510544945,2.524286792,0.868249978,0.653208625,1.049054251,0.351696194,1.615575405,1.63403917,1.646161632
-17.26027397,48.7890411,ROS,2,2,3,ros030_1,2.03125,3.020833333,2.090277778,1.826760403,6.537362096,1.405525362,0.866019747,1.787996471,0.791380849,1.558046051,1.747305045,1.570397581
-13.67671233,52.37260274,ROS,2,2,1.5,ros031_1,2.381532982,2.14824356,2.052393963,0.444320419,0.540979418,0.43643578,2.843650683,3.462268272,1.745743122,1.629204227,1.58238021,1.56248797
-13.64383562,52.40547945,ROS,2,2,3,ros032_1,1.395881896,1.773504274,1.010845636,1.609751826,1.309079299,0.484027355,3.828598937,7.199936143,3.453600584,1.414435587,1.502250418,1.316174283
