predictor,fit,model_name
-28.48816937,1.685810098,orbital_frontal_cortex
-28.00498132,1.68513195,orbital_frontal_cortex
-27.52179328,1.684453802,orbital_frontal_cortex
-27.03860523,1.683775654,orbital_frontal_cortex
-26.55541719,1.683097506,orbital_frontal_cortex
-26.07222914,1.682419358,orbital_frontal_cortex
-25.5890411,1.681741209,orbital_frontal_cortex
-25.10585305,1.681063061,orbital_frontal_cortex
-24.62266501,1.680384913,orbital_frontal_cortex
-24.13947696,1.679706765,orbital_frontal_cortex
-23.65628892,1.679028617,orbital_frontal_cortex
-23.17310087,1.678350469,orbital_frontal_cortex
-22.68991283,1.677672321,orbital_frontal_cortex
-22.20672478,1.676994173,orbital_frontal_cortex
-21.72353674,1.676316024,orbital_frontal_cortex
-21.24034869,1.675637876,orbital_frontal_cortex
-20.75716065,1.674959728,orbital_frontal_cortex
-20.2739726,1.67428158,orbital_frontal_cortex
-19.79078456,1.673603432,orbital_frontal_cortex
-19.30759651,1.672925284,orbital_frontal_cortex
-18.82440847,1.672247136,orbital_frontal_cortex
-18.34122042,1.671568988,orbital_frontal_cortex
-17.85803238,1.670890839,orbital_frontal_cortex
-17.37484433,1.670212691,orbital_frontal_cortex
-16.89165629,1.669534543,orbital_frontal_cortex
-16.40846824,1.668856395,orbital_frontal_cortex
-15.9252802,1.668178247,orbital_frontal_cortex
-15.44209215,1.667500099,orbital_frontal_cortex
-14.95890411,1.666821951,orbital_frontal_cortex
-14.47571607,1.666143803,orbital_frontal_cortex
-13.99252802,1.665465654,orbital_frontal_cortex
-13.50933998,1.664787506,orbital_frontal_cortex
-13.02615193,1.664109358,orbital_frontal_cortex
-12.54296389,1.66343121,orbital_frontal_cortex
-12.05977584,1.662753062,orbital_frontal_cortex
-11.5765878,1.662074914,orbital_frontal_cortex
-11.09339975,1.661396766,orbital_frontal_cortex
-10.61021171,1.660718617,orbital_frontal_cortex
-10.12702366,1.660040469,orbital_frontal_cortex
-9.643835617,1.659362321,orbital_frontal_cortex
-9.160647572,1.658684173,orbital_frontal_cortex
-8.677459527,1.658006025,orbital_frontal_cortex
-8.194271482,1.657327877,orbital_frontal_cortex
-7.711083437,1.656649729,orbital_frontal_cortex
-7.227895392,1.65597158,orbital_frontal_cortex
-6.744707348,1.655293432,orbital_frontal_cortex
-6.261519303,1.654615284,orbital_frontal_cortex
-5.778331258,1.653937136,orbital_frontal_cortex
-5.295143213,1.653258988,orbital_frontal_cortex
-4.811955168,1.65258084,orbital_frontal_cortex
-4.328767123,1.651902691,orbital_frontal_cortex
-3.845579078,1.651224543,orbital_frontal_cortex
-3.362391034,1.650546395,orbital_frontal_cortex
-2.879202989,1.649868247,orbital_frontal_cortex
-2.396014944,1.649190099,orbital_frontal_cortex
-1.912826899,1.648511951,orbital_frontal_cortex
-1.429638854,1.647833803,orbital_frontal_cortex
-0.946450809,1.647155654,orbital_frontal_cortex
-0.463262765,1.646477506,orbital_frontal_cortex
0.01992528,1.645799358,orbital_frontal_cortex
0.503113325,1.64512121,orbital_frontal_cortex
0.98630137,1.644443062,orbital_frontal_cortex
1.469489415,1.643764914,orbital_frontal_cortex
1.95267746,1.643086765,orbital_frontal_cortex
2.435865505,1.642408617,orbital_frontal_cortex
2.919053549,1.641730469,orbital_frontal_cortex
3.402241594,1.641052321,orbital_frontal_cortex
3.885429639,1.640374173,orbital_frontal_cortex
4.368617684,1.639696025,orbital_frontal_cortex
4.851805729,1.639017876,orbital_frontal_cortex
5.334993774,1.638339728,orbital_frontal_cortex
5.818181818,1.63766158,orbital_frontal_cortex
6.301369863,1.636983432,orbital_frontal_cortex
6.784557908,1.636305284,orbital_frontal_cortex
7.267745953,1.635627136,orbital_frontal_cortex
7.750933998,1.634948987,orbital_frontal_cortex
8.234122043,1.634270839,orbital_frontal_cortex
8.717310088,1.633592691,orbital_frontal_cortex
9.200498132,1.632914543,orbital_frontal_cortex
9.683686177,1.632236395,orbital_frontal_cortex
10.16687422,1.631558247,orbital_frontal_cortex
10.65006227,1.630880098,orbital_frontal_cortex
11.13325031,1.63020195,orbital_frontal_cortex
11.61643836,1.629523802,orbital_frontal_cortex
12.0996264,1.628845654,orbital_frontal_cortex
12.58281445,1.628167506,orbital_frontal_cortex
13.06600249,1.627489358,orbital_frontal_cortex
13.54919054,1.626811209,orbital_frontal_cortex
14.03237858,1.626133061,orbital_frontal_cortex
14.51556663,1.625454913,orbital_frontal_cortex
