ID,Task,mature,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,percorr_class_9,percorr_class_10,percorr_class_11,percorr_class_12,percorr_class_13,percorr_class_14,percorr_class_15,percorr_class_16,percorr_class_17,percorr_class_18,percorr_class_19,percorr_class_20
OLI,ODRdistractor_cardinal,-5.6,54.3,0.695652174,0.8,0.888888889,0.8,0.888888889,0.888888889,0.888888889,0.666666667,0.533333333,0.727272727,1,0.888888889,0.888888889,0.888888889,0.888888889,0.8,0.363636364,0.285714286,0.8,0.727272727,0.727272727
OLI,ODRdistractor_diagonal,-5.566666667,54.33333333,0.666666667,0.8,0.8,0.666666667,1,1,1,1,1,1,1,0.444444444,1,1,1,0.666666667,0.210526316,0.307692308,0.5,0.8,1
OLI,ODRdistractor_cardinal,-5.533333333,54.36666667,0.840336134,0.833333333,0.833333333,0.909090909,1,0.909090909,0.909090909,0.833333333,0.769230769,0.714285714,0.833333333,0.714285714,0.909090909,0.909090909,1,0.909090909,0.555555556,0.833333333,0.769230769,1,1
OLI,ODRdistractor_diagonal,-5.4,54.5,0.654205607,0.4375,0.411764706,0.35,1,0.636363636,1,1,0.777777778,1,1,1,0.875,0.368421053,0.875,0.636363636,0.7,0.583333333,0.5,0.875,0.777777778
OLI,ODRdistractor_cardinal,-5.366666667,54.53333333,0.816326531,0.769230769,0.833333333,0.909090909,0.909090909,1,1,0.909090909,0.625,0.909090909,0.909090909,1,1,1,1,0.909090909,0.5,0.555555556,0.833333333,0.666666667,0.769230769
OLI,ODRdistractor_cardinal,-5.333333333,54.56666667,0.877192982,0.909090909,0.769230769,1,1,0.909090909,0.833333333,0.769230769,0.625,0.909090909,1,0.833333333,1,0.909090909,0.909090909,0.909090909,0.833333333,1,0.833333333,0.909090909,0.909090909
OLI,ODRdistractor_cardinal,-5.3,54.6,0.869565217,0.909090909,0.769230769,0.909090909,0.909090909,1,0.769230769,0.833333333,0.769230769,1,1,0.909090909,0.909090909,0.909090909,1,1,0.909090909,0.666666667,0.833333333,0.909090909,0.714285714
OLI,ODRdistractor_cardinal,-5.133333333,54.76666667,0.765258216,0.5,0.8,0.666666667,1,1,0.888888889,1,0.5,0.888888889,0.8,1,1,1,1,1,0.333333333,0.888888889,0.727272727,0.8,0.8
OLI,ODRdistractor_diagonal,-5.1,54.8,0.917431193,0.909090909,1,0.666666667,0.833333333,0.909090909,1,1,1,1,1,0.909090909,1,1,1,1,0.909090909,0.909090909,0.769230769,1,0.769230769
OLI,ODRdistractor_diagonal,-0.7,59.2,0.941176471,1,1,0.818181818,0.909090909,1,1,1,1,1,1,0.909090909,1,1,0.909090909,0.909090909,0.818181818,0.833333333,0.9,1,0.9
