"","anterior_cingulate_gyrus_contra_mature","orbital_frontal_cortex_contra_mature","lateral_prefrontal_cortex_contra_mature","motor_cortex_contra_mature","somatosensory_cortex_contra_mature","superior_parietal_lobule_contra_mature","inferior_parietal_lobule_contra_mature","posterior_medial_cortex_contra_mature","medial_temporal_lobe_contra_mature","temporal_pole_contra_mature","inferior_temporal_cortex_contra_mature","superior_temporal_region_contra_mature","core_and_belt_areas_of_auditory_cortex_contra_mature","floor_of_the_lateral_sulcus_contra_mature","middle_temporal_area_contra_mature","extrastriate_visual_areas_2_4_contra_mature","primary_visual_cortex_contra_mature"
"-35",-0.0423526930243397,-0.824626506297406,14.1408165143624,3.94777985984794,2.03920586841134,4.41413838412384,0.337339073345955,0.236053337163069,2.70382499415786,-1.62478720742468,0.182137154135638,-0.928471134430394,-0.0669677757534013,1.46346600321513,0.29270359358191,0.186369578302495,0.395978904295128
"-25",-0.0553506118314659,-0.83148314664288,8.47505467467692,3.62105042862829,1.99634968672931,3.64418407686793,0.266385346770097,0.232469065630461,2.63264433567746,-1.50267285106771,0.156552934381294,-0.937172510798553,-0.0670126529292939,1.42068452655534,0.291849340084001,0.176155400542502,0.373843541541446
"-15",-0.109944370894054,-0.838454777212385,2.65770164829919,2.74323308550116,1.45564911617358,1.73476497179805,0.0678529524359543,0.0804292971396833,2.56511682307009,-0.375942063943708,0.11033839598394,-0.946038524014101,-0.0670575909280092,1.33020947678255,0.291000058366179,0.11337805542226,0.130520213477788
"-5",-0.30367830274028,-0.845544307293318,-1.98608399087799,-0.282932089343601,0.214573740604327,-0.209098186918625,-0.291100860258768,-0.267554789967835,2.50096686003287,1.1133514045332,0.00248981788894813,-0.955073891232771,-0.0671025927454861,0.97295465757882,0.290155705109898,-0.0167318206048709,-0.461535034202261
"5",-0.480743090495748,-0.852754738666728,-4.25927103726554,-2.60917600200467,-0.827933340550558,-1.50683608183612,-0.514049983662361,-0.535580664531072,2.43994151251019,1.20592005151081,-0.168288550075095,-0.964283511518465,-0.0671476540920431,0.711582551368018,0.289316237555421,-0.0912563517654107,-0.928485400417193
"15",-0.537807739247569,-0.86008919089316,-8.94924574747746,-3.39072008637586,-1.33346088336031,-2.47071199506223,-0.550262096524402,-0.59394860522485,2.38182387964503,1.08064845805188,-0.22442334174193,-0.973672474704143,-0.0671927732301467,0.67978221828811,0.288481613417261,-0.0986133316739742,-1.03586398680061
