"","anterior_cingulate_gyrus_contra_mature","orbital_frontal_cortex_contra_mature","lateral_prefrontal_cortex_contra_mature","motor_cortex_contra_mature","somatosensory_cortex_contra_mature","superior_parietal_lobule_contra_mature","inferior_parietal_lobule_contra_mature","posterior_medial_cortex_contra_mature","medial_temporal_lobe_contra_mature","temporal_pole_contra_mature","inferior_temporal_cortex_contra_mature","superior_temporal_region_contra_mature","core_and_belt_areas_of_auditory_cortex_contra_mature","floor_of_the_lateral_sulcus_contra_mature","middle_temporal_area_contra_mature","extrastriate_visual_areas_2_4_contra_mature","primary_visual_cortex_contra_mature","lateral_and_ventral_pallium_contra_mature","medial_pallium_contra_mature","amygdala_contra_mature","basal_ganglia_contra_mature","diagonal_subpallium_contra_mature","preoptic_complex_contra_mature","hypothalamus_contra_mature","prethalamus_contra_mature","thalamus_contra_mature","epithalamus_contra_mature","pretectum_contra_mature","midbrain_contra_mature","pons_contra_mature","cerebellum_contra_mature","medulla_contra_mature"
"-35",1.32878740229972,-0.282221398021865,3.18174709444065,1.12344330706939,1.03992965085314,1.60537342876949,1.33174036656079,0.122328440944516,5.90528817679327,1.72139294249405,0.776267167719679,1.03884434999458,0.187203984232103,0.732465163090445,0.0343241559149374,1.50243524257234,1.3974202167316,1.98189793277133,2.67165840097703,4.28241289445785,1.96031712316,4.08222464745723,13.8853517980536,4.44075710893735,6.37091215599452,4.3328301964977,2.77301429882652,1.4621290605087,5.9886316365792,6.41195969352856,2.62306757163491,6.15103482771958
"-25",1.50739986139156,-0.594105681387022,2.75506616727273,1.11096227435051,1.02922641727724,1.384609102106,1.2122381896206,0.122178975688425,5.57600880171859,1.69226249230792,0.770288902128441,0.854016353208328,0.186854178041689,0.876557985026343,0.0343122167202163,1.37056009466653,1.37615396091807,1.94338208990151,3.89663335227056,4.10655333165406,1.56520662871867,3.92211509796719,9.55032986855128,4.2519388314368,5.98933675976847,3.77367442170422,2.04919762478659,1.44105903458101,4.80272724759188,6.02560061116491,2.86624202249985,5.79460656007979
"-15",1.33282399307646,-1.39452454021676,2.02656530580355,1.098755512894,1.01874126323883,0.868428746890275,0.763498962890775,0.122029861534336,5.2815112764536,1.6641016046402,0.76439895602074,0.225056628568118,0.186505616428101,1.56684230317913,0.0343001685614175,0.985297172263153,1.34560275142868,1.90633471336115,4.26532938779062,3.9445675661206,1.76542310626163,3.77409090784518,5.11132356994714,4.0785225455725,5.65088615240285,3.46349199754177,2.35245173342914,1.42058754652623,3.625167895092,5.68315631009503,3.06462425207317,5.4772230347992
"-5",0.719874846969537,-2.12046818027631,-0.678629428378383,1.08681407847608,1.00846758777355,0.447280119916652,0.370500689455797,0.121881120992391,5.01656105430859,1.63686281920315,0.758597315270225,-0.425654755211136,0.186158271159848,1.2153667738024,0.0342882808830799,0.669844177127639,1.30891532241762,1.87067346881276,4.393596416003,3.79487611371367,1.34792721646311,3.63683350509712,3.30034323022251,3.91869757795112,5.34864056228627,3.1739902835159,2.17345465565417,1.40068940220384,2.81107044596391,5.37754218237428,2.55109515603668,5.19280170373136
"5",0.173766512868684,-2.34631730520991,-3.35265711039844,1.07512941493408,0.99839904864376,0.0726139827962301,0.092472234844953,0.121732743572487,4.77692376867516,1.61050126155632,0.752882084651154,-0.836553267301883,0.185812195630739,-0.800668490926998,0.0342764978488672,0.350829787770178,1.27349544012993,1.83632192040555,2.32263155188925,3.6561304871424,-0.0926079666767994,3.50920940215477,-0.494902729631284,3.77092637581525,5.07708549838425,1.45704911695105,0.480929606429813,1.3813410055171,1.79854600745619,5.10311976431482,0.966157343344871,4.93646106921793
"15",0.00386980292697914,-2.53752146451382,-5.34602878045607,1.0636933325915,0.988529569893353,-0.298471564418694,-0.136800229471785,0.121584728341112,4.55913726017594,1.58497518727626,0.747253190866078,-1.11228848518828,0.185467491499332,-1.90525872950247,0.034264698316728,0.13299164945635,1.25049912126857,1.80320919877256,1.17616379958625,3.52717245688377,-0.754675115834431,3.39023882332462,-2.23926758934076,3.63389487663233,4.83177228543471,0.437928388583916,-0.673127768621761,1.36251995999553,1.13311183339561,4.85534566025846,0.415164010660368,4.70423818272327
