"","Frontal_Lobe_contra_mature","Parietal_Lobe_contra_mature","Temporal_Lobe_contra_mature","Occipital_Lobe_contra_mature"
"-35",5.53984178212353,0.408102549966998,0.159071974208534,0.249363470401146
"-25",4.32399928862388,0.374304033970222,0.158819336434214,0.234644693830829
"-15",2.28652355093764,0.257889132739109,0.158567500120627,0.100180770411577
"-5",-0.797942381443448,-0.000624502823317994,0.158316455262277,-0.222777189477375
"5",-2.87995033479531,-0.205812516050707,0.158066194634511,-0.442050117037446
"15",-4.21017267107481,-0.265111075396151,0.157816733474713,-0.478829583355775
