d,mature,ID,r2,fixrate,age
0.101450259,-2.761643836,SON,0.998060001,0.961805556,51.94520548
0.678134032,5.556164384,OLI,0.997570196,1.473214286,64.63561644
0.613878576,0.493150685,UNI,0.995589288,2.921875,45.0739726
0.708633311,0.493150685,UNI,0.995296981,0.96875,45.0739726
0.708633311,0.493150685,UNI,0.995296981,0.96875,45.0739726
0.758650877,6.049315068,TRI,0.995213078,5.375,55.85753425
1.009050203,-15.05753425,PIC,0.99502038,7.609375,62.49863014
0.686012433,-7.265753425,VIK,0.992870952,1.0625,47.80273973
0.728371723,-19.16712329,PIC,0.992858552,8.375,58.3890411
0.425778235,11.11232877,TRI,0.992717194,4.390625,60.92054795
1.382833064,11.40821918,UNI,0.991829788,15.39583333,55.9890411
0.517174348,11.57260274,UNI,0.991657992,4.890625,56.15342466
0.252903505,-5.260273973,OLI,0.989575211,0.828125,53.81917808
0.562006378,11.57260274,UNI,0.989231318,2,56.15342466
0.574190804,-6.805479452,QUA,0.988882378,3.091666667,49.67671233
0.701969077,16.93150685,UNI,0.988517459,3.203125,61.51232877
1.432143517,-10.32328767,OLI,0.987960015,4.671875,48.75616438
0.37096975,-10.55342466,OLI,0.987928409,0.5,48.5260274
0.58032297,5.556164384,OLI,0.986895288,4.24702381,64.63561644
0.511494239,-14.1369863,PIC,0.986215455,1.5,63.41917808
0.276361597,11.11232877,TRI,0.986117677,1.375,60.92054795
0.227274072,6.345205479,TRI,0.986096561,5.3125,56.15342466
0.244821524,11.57260274,UNI,0.985285547,4.8125,56.15342466
0.231637344,-10.09315068,SON,0.985260764,1.515625,44.61369863
0.241482996,-11.96712329,OLI,0.984783585,0.625,47.11232877
0.252739471,-14.1369863,PIC,0.983483526,2.125,63.41917808
0.522641464,5.556164384,OLI,0.982911584,0.523809524,64.63561644
0.534330653,6.345205479,TRI,0.98272933,24.83333333,56.15342466
0.520947054,2.071232877,SON,0.981557901,5.162946429,56.77808219
0.254393894,6.345205479,TRI,0.977774066,35.625,56.15342466
0.26163034,6.345205479,TRI,0.977594348,1.854166667,56.15342466
0.977683774,2.268493151,SON,0.977240321,0.578125,56.97534247
0.647887533,0.493150685,UNI,0.976829846,2.0625,45.0739726
0.647887533,0.493150685,UNI,0.976829846,2.0625,45.0739726
0.561288667,-2.630136986,QUA,0.976404148,3.654513889,53.85205479
1.533696653,-15.02465753,PIC,0.976158283,14.328125,62.53150685
0.560530469,5.293150685,OLI,0.975254638,2.130208333,64.37260274
0.204628437,2.104109589,SON,0.973545269,2.8125,56.8109589
