ID,RT,class_weight_1,class_weight_2,class_weight_3,class_weight_4,class_weight_5,class_weight_6,class_weight_7,class_weight_8,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,RT_7,RT_8,mature,age
OLI,0.301671642,0.119402985,0.119402985,0.134328358,0.119402985,0.149253731,0.119402985,0.119402985,0.119402985,0.304,0.3015,0.284888889,0.3015,0.2916,0.295,0.3195,0.32,-0.230136986,58.84931507
OLI,0.313714286,0.126984127,0.111111111,0.126984127,0.126984127,0.126984127,0.126984127,0.126984127,0.126984127,0.301,0.318857143,0.2945,0.281,0.312,0.336,0.3255,0.3415,-0.032876712,59.04657534
OLI,0.3016875,0.125,0.125,0.125,0.109375,0.125,0.140625,0.125,0.125,0.314,0.2945,0.3,0.290285714,0.288,0.305333333,0.3185,0.301,0,59.07945205
OLI,0.3065,0.125,0.125,0.109375,0.125,0.125,0.140625,0.125,0.125,0.315,0.305,0.305142857,0.292,0.3025,0.307111111,0.314,0.311,0.032876712,59.11232877
OLI,0.324151899,0.101265823,0.113924051,0.126582278,0.113924051,0.126582278,0.164556962,0.126582278,0.126582278,0.3175,0.326222222,0.3416,0.326666667,0.322,0.288615385,0.3332,0.3472,4.569863014,63.64931507
OLI,0.309151515,0.121212121,0.121212121,0.121212121,0.121212121,0.121212121,0.121212121,0.136363636,0.136363636,0.317,0.319,0.275,0.2905,0.291,0.3075,0.339111111,0.328,4.602739726,63.68219178
OLI,0.322285714,0.103896104,0.103896104,0.103896104,0.12987013,0.103896104,0.168831169,0.168831169,0.116883117,0.325,0.323,0.317,0.2932,0.312,0.316307692,0.344923077,0.341333333,4.668493151,63.74794521
OLI,0.332965517,0.120689655,0.103448276,0.120689655,0.103448276,0.103448276,0.137931034,0.189655172,0.120689655,0.310285714,0.333333333,0.312571429,0.334666667,0.302666667,0.351,0.357818182,0.340571429,4.8,63.87945205
OLI,0.315612903,0.129032258,0.112903226,0.14516129,0.112903226,0.129032258,0.112903226,0.129032258,0.129032258,0.294,0.293142857,0.327111111,0.299428571,0.303,0.300571429,0.333,0.3665,4.832876712,63.91232877
OLI,0.305907692,0.123076923,0.123076923,0.123076923,0.123076923,0.138461538,0.123076923,0.123076923,0.123076923,0.33,0.3025,0.313,0.3045,0.294222222,0.2925,0.3095,0.3025,4.865753425,63.94520548
OLI,0.312363636,0.136363636,0.121212121,0.121212121,0.106060606,0.121212121,0.121212121,0.151515152,0.121212121,0.339111111,0.296,0.3275,0.264571429,0.3065,0.308,0.3196,0.3265,4.898630137,63.97808219
OLI,0.332347826,0.115942029,0.115942029,0.144927536,0.115942029,0.130434783,0.130434783,0.130434783,0.115942029,0.3225,0.331,0.3516,0.3185,0.296444444,0.32,0.344,0.3745,5.030136986,64.10958904
OLI,0.309454545,0.121212121,0.136363636,0.136363636,0.136363636,0.121212121,0.136363636,0.121212121,0.090909091,0.3215,0.328444444,0.320444444,0.300888889,0.295,0.297333333,0.301,0.31,5.063013699,64.14246575
OLI,0.309117647,0.117647059,0.132352941,0.161764706,0.117647059,0.117647059,0.102941176,0.132352941,0.117647059,0.307,0.318222222,0.322909091,0.305,0.283,0.297714286,0.310666667,0.3205,5.095890411,64.17534247
OLI,0.315768116,0.115942029,0.115942029,0.173913043,0.115942029,0.130434783,0.115942029,0.115942029,0.115942029,0.3475,0.3065,0.343666667,0.303,0.279111111,0.2965,0.3245,0.316,5.128767123,64.20821918
OLI,0.328052632,0.118421053,0.092105263,0.105263158,0.118421053,0.118421053,0.118421053,0.184210526,0.144736842,0.329777778,0.319428571,0.31,0.292888889,0.304,0.312444444,0.360571429,0.365090909,5.260273973,64.33972603
OLI,0.321907692,0.123076923,0.123076923,0.123076923,0.138461538,0.123076923,0.123076923,0.123076923,0.123076923,0.343,0.3225,0.331,0.297333333,0.318,0.3035,0.335,0.328,5.293150685,64.37260274
OLI,0.314338462,0.123076923,0.123076923,0.123076923,0.123076923,0.138461538,0.123076923,0.123076923,0.123076923,0.3455,0.3185,0.3,0.2815,0.293333333,0.322,0.3175,0.339,5.326027397,64.40547945
OLI,0.318591549,0.126760563,0.112676056,0.126760563,0.126760563,0.126760563,0.126760563,0.126760563,0.126760563,0.318222222,0.3245,0.332888889,0.294666667,0.302666667,0.312444444,0.316,0.348,5.35890411,64.43835616
OLI,0.333181818,0.136363636,0.090909091,0.136363636,0.113636364,0.090909091,0.136363636,0.136363636,0.159090909,0.284666667,0.354,0.43,0.316,0.309,0.29,0.358,0.321714286,5.490410959,64.56986301
OLI,0.301527273,0.127272727,0.127272727,0.109090909,0.127272727,0.127272727,0.127272727,0.127272727,0.127272727,0.297142857,0.308,0.309333333,0.302285714,0.278285714,0.303428571,0.308571429,0.306285714,5.523287671,64.60273973
OLI,0.306909091,0.127272727,0.127272727,0.145454545,0.109090909,0.109090909,0.127272727,0.145454545,0.109090909,0.314857143,0.312,0.2995,0.304,0.288666667,0.305714286,0.321,0.305333333,5.556164384,64.63561644
OLI,0.310857143,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.362285714,0.308,0.312,0.287428571,0.294857143,0.298857143,0.301714286,0.321714286,5.589041096,64.66849315
OLI,0.242707071,0.101010101,0.171717172,0.141414141,0.080808081,0.101010101,0.070707071,0.222222222,0.111111111,0.2952,0.239058824,0.2,0.285,0.2416,0.301142857,0.195818182,0.281818182,9.863013699,68.94246575
OLI,0.266454545,0.113636364,0.079545455,0.079545455,0.079545455,0.079545455,0.113636364,0.227272727,0.227272727,0.2648,0.310285714,0.319428571,0.251428571,0.286857143,0.2764,0.228,0.265,9.895890411,68.97534247
OLI,0.246295082,0.106557377,0.081967213,0.081967213,0.073770492,0.081967213,0.081967213,0.31147541,0.180327869,0.271384615,0.2884,0.328,0.286222222,0.2796,0.3076,0.184947368,0.221818182,10.09315068,69.17260274
OLI,0.311659574,0.14893617,0.127659574,0.106382979,0.127659574,0.127659574,0.170212766,0.085106383,0.106382979,0.292,0.324,0.328,0.325333333,0.278666667,0.29,0.37,0.3192,10.1260274,69.20547945
OLI,0.2712,0.117647059,0.258823529,0.211764706,0.082352941,0.082352941,0.082352941,0.082352941,0.082352941,0.3352,0.249090909,0.224666667,0.244,0.289714286,0.301714286,0.302285714,0.316,10.15890411,69.23835616
OLI,0.239862069,0.103448276,0.327586207,0.224137931,0.051724138,0.068965517,0.051724138,0.068965517,0.103448276,0.218,0.218526316,0.217538462,0.318666667,0.232,0.325333333,0.337,0.236,10.32328767,69.40273973
OLI,0.2725,0.090909091,0.204545455,0.25,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.304,0.262222222,0.227272727,0.346,0.263,0.2785,0.309,0.282,10.35616438,69.43561644
OLI,0.2693,0.1,0.1375,0.225,0.125,0.1,0.1,0.1125,0.1,0.2985,0.295636364,0.188222222,0.2964,0.266,0.2765,0.332888889,0.277,10.3890411,69.46849315
OLI,0.278324324,0.121621622,0.175675676,0.135135135,0.121621622,0.108108108,0.108108108,0.108108108,0.121621622,0.242666667,0.292307692,0.2952,0.297333333,0.2505,0.281,0.2965,0.262222222,10.42191781,69.50136986
OLI,0.2716,0.116666667,0.1,0.166666667,0.116666667,0.133333333,0.133333333,0.15,0.083333333,0.253714286,0.312666667,0.2556,0.244571429,0.271,0.254,0.306666667,0.2832,10.55342466,69.63287671
OLI,0.28544,0.113333333,0.146666667,0.153333333,0.113333333,0.126666667,0.113333333,0.113333333,0.12,0.272705882,0.289636364,0.30626087,0.265882353,0.285894737,0.292470588,0.276705882,0.285333333,10.58630137,69.66575342
OLI,0.298205128,0.102564103,0.141025641,0.153846154,0.115384615,0.102564103,0.115384615,0.153846154,0.115384615,0.304,0.315272727,0.312,0.313333333,0.293,0.293333333,0.256,0.304444444,10.61917808,69.69863014
PIC,0.294292135,0.101123596,0.101123596,0.08988764,0.101123596,0.168539326,0.168539326,0.123595506,0.146067416,0.308444444,0.302666667,0.267,0.312888889,0.307733333,0.299466667,0.266181818,0.284923077,-30.90410959,46.65205479
PIC,0.281095238,0.095238095,0.095238095,0.095238095,0.095238095,0.095238095,0.119047619,0.166666667,0.238095238,0.302,0.2935,0.2825,0.2715,0.315,0.2628,0.248857143,0.2892,-30.83835616,46.71780822
PIC,0.277226667,0.2,0.12,0.08,0.093333333,0.08,0.093333333,0.106666667,0.226666667,0.288533333,0.286666667,0.275333333,0.254857143,0.262,0.305714286,0.2145,0.295294118,-30.70684932,46.84931507
PIC,0.270528736,0.16091954,0.114942529,0.103448276,0.103448276,0.114942529,0.137931034,0.114942529,0.149425287,0.263428571,0.2716,0.252888889,0.280444444,0.2656,0.273666667,0.2668,0.286461538,-30.6739726,46.88219178
PIC,0.293126761,0.211267606,0.14084507,0.084507042,0.098591549,0.154929577,0.084507042,0.084507042,0.14084507,0.309333333,0.2992,0.311333333,0.276571429,0.282181818,0.269333333,0.271333333,0.3028,-30.24657534,47.30958904
PIC,0.283037975,0.164556962,0.139240506,0.101265823,0.101265823,0.113924051,0.126582278,0.126582278,0.126582278,0.302153846,0.315636364,0.285,0.2615,0.301333333,0.2668,0.25,0.2708,-30.21369863,47.34246575
PIC,0.292172043,0.107526882,0.096774194,0.086021505,0.086021505,0.182795699,0.247311828,0.086021505,0.107526882,0.3144,0.302222222,0.285,0.295,0.310823529,0.275304348,0.286,0.2764,-30.18082192,47.37534247
PIC,0.27837037,0.185185185,0.222222222,0.148148148,0.061728395,0.12345679,0.098765432,0.086419753,0.074074074,0.265066667,0.337111111,0.287,0.2184,0.2804,0.242,0.224571429,0.276,-30.01643836,47.53972603
PIC,0.273432836,0.134328358,0.134328358,0.119402985,0.119402985,0.119402985,0.119402985,0.119402985,0.134328358,0.273333333,0.297777778,0.2745,0.267,0.285,0.2615,0.2505,0.274666667,-29.98356164,47.57260274
PIC,0.276328767,0.178082192,0.150684932,0.082191781,0.123287671,0.109589041,0.109589041,0.123287671,0.123287671,0.293538462,0.292363636,0.252666667,0.272888889,0.276,0.2575,0.274666667,0.269777778,-29.95068493,47.60547945
PIC,0.303085714,0.114285714,0.085714286,0.085714286,0.085714286,0.20952381,0.142857143,0.180952381,0.095238095,0.311333333,0.274666667,0.284,0.304444444,0.328181818,0.295733333,0.300631579,0.2952,-29.78630137,47.76986301
PIC,0.265,0.125,0.125,0.138888889,0.125,0.111111111,0.125,0.125,0.125,0.257777778,0.268888889,0.2724,0.274666667,0.276,0.257777778,0.257333333,0.255555556,-29.75342466,47.80273973
PIC,0.285621622,0.135135135,0.081081081,0.135135135,0.135135135,0.189189189,0.108108108,0.108108108,0.108108108,0.2928,0.290666667,0.2704,0.3008,0.310857143,0.28,0.256,0.264,-29.72054795,47.83561644
PIC,0.268277778,0.125,0.125,0.097222222,0.111111111,0.125,0.111111111,0.180555556,0.125,0.290666667,0.261777778,0.281714286,0.2555,0.252,0.27,0.272307692,0.262222222,-24.65753425,52.89863014
PIC,0.253317647,0.094117647,0.094117647,0.094117647,0.094117647,0.094117647,0.129411765,0.258823529,0.141176471,0.289,0.2605,0.281,0.2515,0.255,0.237454545,0.225090909,0.272666667,-24.62465753,52.93150685
PIC,0.267448276,0.16091954,0.103448276,0.091954023,0.091954023,0.091954023,0.114942529,0.252873563,0.091954023,0.282857143,0.278222222,0.2785,0.2725,0.246,0.2544,0.256363636,0.2805,-24.49315068,53.0630137
PIC,0.269942857,0.128571429,0.1,0.128571429,0.114285714,0.114285714,0.114285714,0.171428571,0.128571429,0.291111111,0.268571429,0.278666667,0.2925,0.258,0.2785,0.237666667,0.267111111,-24.46027397,53.09589041
PIC,0.286176471,0.161764706,0.117647059,0.132352941,0.117647059,0.102941176,0.132352941,0.117647059,0.117647059,0.283636364,0.3005,0.333777778,0.271,0.269142857,0.255111111,0.2705,0.3025,-24.42739726,53.12876712
PIC,0.263885714,0.114285714,0.114285714,0.185714286,0.114285714,0.114285714,0.114285714,0.128571429,0.114285714,0.2625,0.2625,0.280923077,0.279,0.27,0.27,0.245777778,0.232,-24.39452055,53.16164384
PIC,0.285156627,0.120481928,0.120481928,0.120481928,0.120481928,0.120481928,0.13253012,0.13253012,0.13253012,0.274,0.2716,0.3644,0.2976,0.2656,0.251272727,0.277090909,0.284,-24.2630137,53.29315068
PIC,0.258974359,0.115384615,0.115384615,0.128205128,0.115384615,0.115384615,0.128205128,0.166666667,0.115384615,0.264888889,0.248444444,0.2928,0.287555556,0.238222222,0.2508,0.228,0.272,-24.23013699,53.3260274
PIC,0.2568,0.12,0.12,0.12,0.12,0.12,0.12,0.146666667,0.133333333,0.252,0.264,0.311555556,0.254666667,0.249777778,0.238222222,0.236,0.2532,-24.19726027,53.35890411
PIC,0.261023256,0.093023256,0.197674419,0.127906977,0.174418605,0.093023256,0.127906977,0.093023256,0.093023256,0.268,0.265647059,0.278545455,0.2592,0.2505,0.230909091,0.2685,0.268,-24.16438356,53.39178082
PIC,0.27852381,0.119047619,0.130952381,0.119047619,0.119047619,0.119047619,0.142857143,0.130952381,0.119047619,0.2868,0.282545455,0.2984,0.2944,0.2572,0.267333333,0.265818182,0.2788,-24.03287671,53.52328767
PIC,0.271485714,0.114285714,0.128571429,0.157142857,0.114285714,0.114285714,0.114285714,0.128571429,0.128571429,0.276,0.302222222,0.292727273,0.2835,0.255,0.247,0.24,0.268,-24,53.55616438
PIC,0.260307692,0.138461538,0.138461538,0.107692308,0.092307692,0.107692308,0.107692308,0.2,0.107692308,0.254222222,0.276888889,0.276,0.280666667,0.264,0.251428571,0.227692308,0.279428571,-23.96712329,53.5890411
PIC,0.270307692,0.128205128,0.128205128,0.205128205,0.115384615,0.102564103,0.102564103,0.115384615,0.102564103,0.2772,0.2596,0.29625,0.285333333,0.2695,0.2505,0.237333333,0.264,-23.93424658,53.62191781
PIC,0.25985,0.1375,0.1125,0.1125,0.125,0.125,0.125,0.1125,0.15,0.256,0.277333333,0.307555556,0.2484,0.2428,0.2328,0.263555556,0.258,-20.31780822,57.23835616
PIC,0.256227273,0.113636364,0.113636364,0.147727273,0.181818182,0.102272727,0.113636364,0.113636364,0.113636364,0.2688,0.2828,0.278153846,0.20175,0.290666667,0.2388,0.2676,0.2508,-20.28493151,57.27123288
PIC,0.268411765,0.132352941,0.161764706,0.117647059,0.117647059,0.117647059,0.117647059,0.117647059,0.117647059,0.246666667,0.268727273,0.302,0.2735,0.2545,0.2545,0.2775,0.2725,-20.12054795,57.43561644
PIC,0.260651163,0.139534884,0.127906977,0.127906977,0.11627907,0.11627907,0.11627907,0.127906977,0.127906977,0.241,0.298545455,0.277818182,0.244,0.2476,0.264,0.257454545,0.254181818,-20.08767123,57.46849315
PIC,0.266,0.121212121,0.121212121,0.121212121,0.121212121,0.121212121,0.151515152,0.121212121,0.121212121,0.2745,0.2745,0.2915,0.2745,0.243,0.242,0.2555,0.2785,-20.05479452,57.50136986
PIC,0.256716418,0.119402985,0.134328358,0.119402985,0.119402985,0.119402985,0.119402985,0.119402985,0.149253731,0.269,0.248,0.2915,0.271,0.2495,0.2355,0.27,0.2276,-19.85753425,57.69863014
PIC,0.251352941,0.117647059,0.117647059,0.117647059,0.117647059,0.132352941,0.117647059,0.132352941,0.147058824,0.2775,0.273,0.261,0.257,0.228,0.267,0.206666667,0.2496,-19.66027397,57.89589041
PIC,0.249818182,0.103896104,0.116883117,0.103896104,0.116883117,0.103896104,0.155844156,0.194805195,0.103896104,0.2575,0.252888889,0.2475,0.259555556,0.2315,0.254,0.244,0.253,-19.62739726,57.92876712
PIC,0.239830986,0.112676056,0.126760563,0.112676056,0.112676056,0.112676056,0.126760563,0.154929577,0.14084507,0.2525,0.248,0.231,0.249,0.233,0.231555556,0.234909091,0.2404,-19.59452055,57.96164384
PIC,0.248,0.127906977,0.127906977,0.11627907,0.127906977,0.11627907,0.11627907,0.127906977,0.139534884,0.250909091,0.258909091,0.264,0.243272727,0.2536,0.2388,0.242181818,0.234666667,-19.43013699,58.1260274
PIC,0.255898734,0.139240506,0.101265823,0.113924051,0.101265823,0.139240506,0.139240506,0.151898734,0.113924051,0.258545455,0.2665,0.264888889,0.254,0.254545455,0.247636364,0.251,0.254222222,-19.39726027,58.15890411
PIC,0.26025,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.257,0.268,0.286,0.2725,0.2375,0.254,0.238,0.269,-19.36438356,58.19178082
PIC,0.254733333,0.133333333,0.15,0.116666667,0.116666667,0.116666667,0.133333333,0.133333333,0.1,0.245,0.248444444,0.303428571,0.246285714,0.246857143,0.2585,0.222,0.278,-19.33150685,58.22465753
PIC,0.23424,0.106666667,0.133333333,0.106666667,0.12,0.106666667,0.106666667,0.173333333,0.146666667,0.2355,0.242,0.2735,0.243555556,0.2405,0.251,0.189538462,0.226181818,-19.2,58.35616438
PIC,0.260611111,0.166666667,0.125,0.125,0.111111111,0.111111111,0.111111111,0.138888889,0.111111111,0.262,0.259111111,0.291111111,0.295,0.2715,0.245,0.2156,0.2525,-19.16712329,58.3890411
PIC,0.233185185,0.135802469,0.098765432,0.111111111,0.098765432,0.098765432,0.135802469,0.185185185,0.135802469,0.222545455,0.2635,0.258666667,0.254,0.196,0.222909091,0.214933333,0.248,-19.13424658,58.42191781
PIC,0.233176471,0.117647059,0.117647059,0.132352941,0.117647059,0.117647059,0.117647059,0.132352941,0.147058824,0.2575,0.2455,0.235555556,0.2215,0.209,0.225,0.204888889,0.2624,-19.10136986,58.45479452
PIC,0.256150943,0.113207547,0.113207547,0.132075472,0.113207547,0.150943396,0.132075472,0.132075472,0.113207547,0.25,0.274666667,0.305142857,0.245333333,0.235,0.249142857,0.242285714,0.25,-18.96986301,58.58630137
PIC,0.240045455,0.113636364,0.125,0.113636364,0.113636364,0.125,0.125,0.147727273,0.136363636,0.2392,0.236363636,0.2612,0.2492,0.221090909,0.230909091,0.232307692,0.253,-18.9369863,58.61917808
