ID,session,mature,age,sex,hemi,anterior_cingulate_gyrus_contra,orbital_frontal_cortex_contra,lateral_prefrontal_cortex_contra,motor_cortex_contra,somatosensory_cortex_contra,superior_parietal_lobule_contra,inferior_parietal_lobule_contra,posterior_medial_cortex_contra,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra,extrastriate_visual_areas_2_4_contra,primary_visual_cortex_contra
QUA,7,0.1,57.4,M,R,290.3863,608.6379,755.6239,996.4838,649.8161,473.1018,605.5786,338.7797,123.4209,108.3624,876.4893,399.8001,285.3282,170.9341,52.61864,1831.505,1286.741
ROS,1,-29.4,37.6,M,L,342.5998,700.8263,911.1757,1151.549,800.9644,521.3577,673.285,382.3307,145.5779,133.0192,1003.691,474.2369,317.5409,186.4459,64.39896,2195.219,1457.119
ROS,2,-25.4,41.6,M,L,314.3047,703.3564,893.7576,1165.213,831.0896,561.3682,688.2771,381.1627,120.4242,90.1298,939.3864,459.5296,309.0411,193.4208,65.94209,2170.726,1449.941
ROS,3,-21.9,45.1,M,L,348.2115,741.9059,965.7646,1176.693,835.3958,536.6646,699.0881,370.9416,136.8545,123.4717,967.2582,470.7095,325.9009,168.1075,62.61005,2108.219,1398.93
ROS,4,-19.1,47.9,M,L,331.6233,702.9721,898.3784,1173.122,813.6342,507.9558,653.7349,355.3799,125.9248,116.3729,987.2023,461.1949,308.7847,191.5854,56.23291,2099.728,1408.56
ROS,5,-15.8,51.2,M,L,349.9304,711.2127,925.9164,1196.033,833.6448,543.5568,699.7532,395.1121,137.1958,116.8738,1004.798,470.5025,318.3185,189.3905,63.52595,2170.397,1447.436
ROS,6,-12.7,54.2,M,L,349.5033,713.8931,962.6338,1269.271,870.3191,561.2004,716.1576,394.8823,191.8799,120.9632,1009.822,487.2205,329.973,192.373,65.99706,2195.013,1479.235
ROS,7,-9.5,57.4,M,L,352.2886,685.3369,867.7725,1191.042,827.3619,535.3561,679.1035,395.3929,138.0846,128.3861,1018.299,474.6449,313.6324,200.7312,61.80264,2172.157,1463.066
ROS,8,-6.6,60.4,M,L,354.5484,709.1472,915.7479,1169.524,816.2137,540.3297,683.0615,378.8832,144.6746,128.9837,1019.175,474.4285,314.6819,200.6243,62.92818,2220.008,1467.992
ROS,9,-2.5,64.5,M,L,352.8833,665.062,961.9076,1227.22,831.2161,548.0905,680.2274,387.4823,144.3166,130.5968,1004.278,468.0316,313.9207,189.325,65.83502,2171.263,1437.917
ROS,10,-0.4,66.6,M,L,362.3519,707.7842,928.1169,1216.085,829.097,549.7998,705.5776,391.0814,140.7297,126.5601,1020.594,480.9987,322.0972,189.7793,66.73442,2205.154,1502.393
ROS,11,3,70,M,L,351.7553,644.9588,931.9056,1190.528,841.2184,550.1185,663.2864,377.5048,145.4413,124.6363,1010.535,463.2969,313.9557,195.3557,64.30119,2145.076,1433.012
SON,1,-22.3,33.2,M,R,321.7072,625.7885,809.1478,1017.343,681.6008,454.0859,538.7327,319.5657,126.7045,110.8181,872.9879,382.3749,255.1996,147.2276,51.06757,1705.866,1167.681
SON,2,-18.3,37.1,M,R,309.6006,602.8946,844.4984,1005.261,695.2897,481.1167,558.5148,309.7895,131.4404,94.04892,841.7967,374.9446,260.2326,152.6868,50.84147,1764.032,1190.623
SON,3,-14.8,40.7,M,R,321.8244,621.7728,860.2758,1019.137,697.8564,471.2273,560.7717,319.195,135.2639,89.4901,821.1164,377.3857,261.2572,141.9,50.46954,1759.342,1181.42
SON,4,-12,43.5,M,R,335.0012,616.1172,858.9866,1035.602,682.5525,470.8484,560.419,313.6656,132.0376,116.0122,878.4766,378.9933,260.444,154.3079,53.36477,1725.631,1212.584
SON,5,-8.8,46.7,M,R,329.9277,641.7419,882.8671,1048.467,706.2958,473.1245,571.0361,303.8568,135.5895,109.9829,897.1695,392.1946,273.4543,149.6296,53.48418,1765.521,1175.461
SON,6,-5.6,49.8,M,R,309.6592,596.8191,831.3397,1036.867,679.4659,472.43,545.0917,321.5315,124.0661,91.44546,823.182,369.6289,254.5248,148.4842,51.45427,1708.647,1201.846
SON,7,-2.5,53,M,R,298.4659,574.3387,808.5522,1004.963,686.8302,456.7013,568.8427,317.7663,123.3476,100.0065,869.9197,384.7319,268.0499,154.4603,50.97629,1742.386,1207.901
SON,8,0.5,56,M,R,315.9288,644.5994,828.3417,1025.29,689.6863,472.8872,554.6537,315.2726,134.4658,118.1482,881.9235,386.7249,267.9258,149.6464,52.56706,1777.803,1218.047
SON,9,3.5,59,M,R,315.6063,590.5097,817.4837,1018.937,691.4482,473.4396,551.8482,317.6727,150.0228,104.0762,860.2059,381.6199,259.9133,145.2693,52.53099,1737.086,1198.608
SON,10,6.7,62.2,M,R,316.6848,599.0446,816.5679,1036.798,684.2833,468.9517,560.7457,323.007,136.8028,113.0062,853.3519,366.1684,256.6879,146.8882,51.5559,1725.639,1210.465
SON,11,10.1,65.6,M,R,301.6263,580.7691,755.2158,953.6163,671.4895,447.3816,520.5363,313.1927,139.9371,100.3043,843.4994,362.0955,254.1051,143.662,52.0377,1693.751,1170.47
TRI,1,-19.7,30.8,F,L,374.348,691.7989,819.7504,1105.392,736.2472,555.6951,665.8412,374.3067,135.8988,128.0933,946.3209,464.8709,329.4461,209.2247,62.06578,1987.994,1423.071
TRI,2,-15.7,34.8,F,L,365.7545,625.9454,825.7552,1131.981,781.3231,580.2104,692.1082,384.3094,126.7168,94.79959,879.1232,456.9626,338.4396,212.196,61.83059,1988.355,1413.853
TRI,3,-12.2,38.3,F,L,358.2798,646.7907,821.6614,1153.634,791.7327,582.6166,691.7292,368.049,119.9986,100.8534,888.9465,457.9946,340.0243,209.2439,62.9883,1999.003,1437.281
TRI,4,-9.3,41.2,F,L,354.9966,658.8656,887.4954,1153.47,758.1448,535.319,652.868,368.0493,124.7342,109.5445,920.9672,454.0577,329.2858,211.0376,62.85658,1966.228,1436.308
TRI,5,-6.1,44.4,F,L,348.1172,672.9803,811.2119,1102.038,734.1796,510.2174,619.6755,356.4655,121.8199,126.5493,919.3997,448.7675,319.1337,204.0445,62.23104,1908.247,1412.062
TRI,6,-3.2,47.3,F,L,350.4095,622.9764,827.5461,1161.446,766.9207,548.5617,665.8664,384.6505,116.2839,122.072,928.6163,473.098,322.8509,220.9401,66.20959,1994.922,1447.597
TRI,7,0.2,50.7,F,L,357.6988,657.7172,802.3684,1143.46,769.2631,542.8214,671.9183,360.0827,121.001,126.1453,939.0305,467.5409,337.986,206.2845,63.41254,1977.533,1429.193
TRI,8,3.2,53.7,F,L,359.0367,642.391,824.4908,1175.531,785.3239,557.6417,676.1014,382.6029,123.5893,122.3907,922.8338,469.1723,340.8444,204.8334,65.12528,2021.604,1472.47
TRI,9,7.2,57.7,F,L,371.9258,682.562,803.0653,1145.21,756.8281,542.6746,661.7457,375.8192,135.9372,123.7019,939.916,468.6907,335.4109,214.1267,64.02286,1976.103,1455.083
TRI,10,9.3,59.8,F,L,364.6731,664.2267,808.329,1182.226,796.4631,567.1323,675.4282,377.1876,130.3551,119.2953,930.1608,457.8697,328.7671,211.5757,66.11562,2021.101,1485.36
TRI,11,12.7,63.2,F,L,339.1227,581.0059,745.5058,1076.503,753.3603,542.0438,646.4543,363.8617,129.8497,105.9502,919.6805,448.8044,321.7661,209.5048,62.69199,1956.076,1461.783
UNI,1,-13.1,32.1,F,R,304.3133,589.9261,780.903,996.224,670.4589,467.4162,592.1519,309.6714,126.7408,113.1333,878.5515,407.6581,268.2179,152.1416,61.41733,1851.44,1308.991
UNI,2,-9.2,36,F,R,285.7359,586.4505,782.2236,1014.284,681.6788,466.1767,596.5154,313.7679,114.6676,99.46359,847.5511,391.5555,274.433,143.775,60.6162,1852.121,1310.772
UNI,3,-5.6,39.6,F,R,297.1768,571.7003,774.2629,1034.54,675.5298,453.7271,594.3928,306.1176,104.4071,96.06197,848.9891,397.48,270.1223,146.9151,58.37429,1825.786,1328.392
UNI,4,-2.8,42.4,F,R,306.6232,605.0771,796.043,1021.589,691.5068,454.5754,594.883,308.6521,116.6873,117.6596,881.791,400.8149,267.6961,150.6004,59.11268,1862.564,1342.743
