Task,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,ID,mature,age
ODR3,0.651162791,0.7,0.318181818,0.368421053,1,1,1,1,1,OLI,10.15890411,69.23835616
ODR3,0.727272727,1,0.444444444,0.363636364,1,1,1,1,1,OLI,10.35616438,69.43561644
ODR3,0.771084337,1,0.727272727,0.4,0.727272727,1,1,0.888888889,1,OLI,10.3890411,69.46849315
ODR3,0.853333333,0.888888889,0.615384615,0.727272727,0.888888889,1,1,1,0.888888889,OLI,10.42191781,69.50136986
ODR,0.606060606,0.714285714,0.714285714,0.384615385,0.555555556,0.625,0.625,0.555555556,1,OLI,10.55342466,69.63287671
ODR3,0.827160494,0.842105263,0.772727273,0.68,0.944444444,0.85,0.80952381,0.894736842,0.888888889,OLI,10.58630137,69.66575342
ODR3,0.790123457,0.888888889,0.727272727,0.666666667,0.8,1,0.888888889,0.615384615,0.888888889,OLI,10.61917808,69.69863014
ODR3,0.775280899,1,1,1,1,0.6,0.533333333,0.818181818,0.615384615,PIC,-30.90410959,46.65205479
ODR3,0.761904762,1,1,1,1,1,0.8,0.571428571,0.4,PIC,-30.83835616,46.71780822
ODR3,0.64,0.4,0.666666667,1,0.857142857,1,0.857142857,0.75,0.352941176,PIC,-30.70684932,46.84931507
ODR3,0.875,0.714285714,0.9,1,0.9,1,0.833333333,1,0.769230769,PIC,-30.6739726,46.88219178
ODR3,0.666666667,0.375,0.6,1,0.857142857,0.545454545,1,1,0.6,PIC,-30.24657534,47.30958904
ODR3,0.8625,0.615384615,0.727272727,1,1,1,0.9,0.9,0.9,PIC,-30.21369863,47.34246575
ODR,0.680851064,0.8,0.888888889,1,1,0.444444444,0.347826087,1,0.8,PIC,-30.18082192,47.37534247
ODR3,0.571428571,0.4,0.3,0.5,1,0.6,0.75,0.857142857,1,PIC,-30.01643836,47.53972603
ODR3,0.970149254,0.888888889,1,1,1,1,1,1,0.888888889,PIC,-29.98356164,47.57260274
ODR3,0.893333333,0.615384615,0.818181818,1,1,1,1,1,0.888888889,PIC,-29.95068493,47.60547945
ODR,0.695238095,0.75,1,1,1,0.409090909,0.6,0.473684211,1,PIC,-29.78630137,47.76986301
ODR3,0.95890411,1,1,0.9,1,1,0.888888889,0.888888889,1,PIC,-29.75342466,47.80273973
ODR3,0.948717949,1,1,1,1,0.714285714,1,1,1,PIC,-29.72054795,47.83561644
ODR3,0.866666667,0.888888889,0.888888889,0.888888889,1,1,1,0.615384615,0.8,PIC,-24.65753425,52.89863014
ODR3,0.744186047,1,1,1,1,1,0.727272727,0.363636364,0.615384615,PIC,-24.62465753,52.93150685
ODR,0.719101124,0.571428571,0.888888889,0.888888889,1,1,0.8,0.363636364,0.888888889,PIC,-24.49315068,53.0630137
ODR3,0.876712329,0.8,1,0.8,1,1,1,0.666666667,0.888888889,PIC,-24.46027397,53.09589041
ODR3,0.927536232,0.727272727,1,0.888888889,1,1,0.888888889,1,1,PIC,-24.42739726,53.12876712
ODR3,0.888888889,1,0.888888889,0.615384615,1,1,1,0.888888889,0.888888889,PIC,-24.39452055,53.16164384
ODR,0.975903614,1,1,1,1,1,0.909090909,0.909090909,1,PIC,-24.2630137,53.29315068
ODR3,0.91025641,1,1,0.9,0.888888889,1,0.9,0.692307692,1,PIC,-24.23013699,53.3260274
ODR3,0.973333333,1,1,1,1,1,1,0.818181818,1,PIC,-24.19726027,53.35890411
ODR3,0.703296703,1,0.444444444,0.727272727,0.470588235,0.888888889,0.727272727,0.888888889,1,PIC,-24.16438356,53.39178082
ODR,0.964285714,1,1,1,1,1,0.833333333,0.909090909,1,PIC,-24.03287671,53.52328767
ODR3,0.914285714,1,0.888888889,0.727272727,1,1,1,0.888888889,0.888888889,PIC,-24,53.55616438
ODR3,0.878787879,0.888888889,0.888888889,1,1,1,1,0.538461538,1,PIC,-23.96712329,53.5890411
ODR3,0.82278481,0.727272727,0.8,0.5,0.888888889,1,1,1,1,PIC,-23.93424658,53.62191781
ODR,0.938271605,0.909090909,1,1,1,1,1,0.9,0.75,PIC,-20.31780822,57.23835616
ODR3,0.772727273,0.9,0.8,0.692307692,0.5625,0.888888889,0.8,0.8,0.9,PIC,-20.28493151,57.27123288
ODR,0.941176471,0.888888889,0.727272727,1,1,1,1,1,1,PIC,-20.12054795,57.43561644
ODR,0.988372093,0.916666667,1,1,1,1,1,1,1,PIC,-20.08767123,57.46849315
ODR3,0.96969697,1,1,1,1,1,0.8,1,1,PIC,-20.05479452,57.50136986
ODR3,0.955223881,1,0.888888889,1,1,1,1,1,0.8,PIC,-19.85753425,57.69863014
ODR,0.955882353,1,1,1,1,1,1,0.888888889,0.8,PIC,-19.66027397,57.89589041
ODR3,0.831168831,1,0.888888889,1,0.888888889,1,0.666666667,0.533333333,1,PIC,-19.62739726,57.92876712
ODR3,0.888888889,1,0.888888889,1,0.888888889,1,0.888888889,0.727272727,0.8,PIC,-19.59452055,57.96164384
ODR,0.931034483,0.909090909,0.909090909,1,0.909090909,1,1,1,0.769230769,PIC,-19.43013699,58.1260274
ODR3,0.839506173,0.727272727,1,1,1,0.666666667,0.818181818,0.75,0.888888889,PIC,-19.39726027,58.15890411
ODR3,1,1,1,1,1,1,1,1,1,PIC,-19.36438356,58.19178082
ODR3,0.918032787,0.875,0.777777778,1,1,1,0.875,0.875,1,PIC,-19.33150685,58.22465753
ODR,0.853333333,1,0.8,1,0.888888889,1,1,0.615384615,0.727272727,PIC,-19.2,58.35616438
ODR3,0.876712329,0.666666667,0.8,0.888888889,1,1,1,0.8,1,PIC,-19.16712329,58.3890411
ODR3,0.771084337,0.727272727,0.888888889,0.888888889,1,1,0.727272727,0.5,0.727272727,PIC,-19.13424658,58.42191781
ODR3,0.941176471,1,1,0.888888889,1,1,1,0.888888889,0.8,PIC,-19.10136986,58.45479452
ODR,0.944444444,1,0.857142857,1,1,0.875,1,0.857142857,1,PIC,-18.96986301,58.58630137
ODR3,0.898876404,1,0.909090909,0.909090909,1,0.909090909,0.909090909,0.769230769,0.833333333,PIC,-18.9369863,58.61917808
ODR3,0.916666667,0.8,0.888888889,1,1,1,1,0.9,0.8,PIC,-18.90410959,58.65205479
ODR3,0.91954023,1,1,0.666666667,0.909090909,0.909090909,1,1,1,PIC,-18.87123288,58.68493151
ODR,0.771084337,0.727272727,0.615384615,0.888888889,1,1,1,0.8,0.5,PIC,-15.05753425,62.49863014
ODR3,0.780487805,0.888888889,1,1,1,1,1,0.888888889,0.333333333,PIC,-15.02465753,62.53150685
ODR3,0.621359223,0.888888889,0.571428571,0.615384615,0.727272727,1,1,0.533333333,0.32,PIC,-14.99178082,62.56438356
ODR3,0.903225806,1,0.636363636,0.875,1,1,1,1,0.875,PIC,-14.95890411,62.59726027
ODR,0.780487805,1,0.615384615,0.8,0.8,1,1,0.727272727,0.571428571,PIC,-14.82739726,62.72876712
ODR3,0.853333333,1,0.888888889,1,1,1,1,0.615384615,0.615384615,PIC,-14.79452055,62.76164384
ODR3,0.914285714,1,1,1,0.888888889,1,1,0.666666667,0.888888889,PIC,-14.76164384,62.79452055
ODR,0.893333333,0.9,0.692307692,0.888888889,0.888888889,1,1,0.888888889,1,PIC,-14.56438356,62.99178082
ODR3,0.916666667,1,0.727272727,1,1,1,1,0.888888889,0.8,PIC,-14.53150685,63.02465753
ODR3,0.752941176,0.615384615,1,1,1,1,1,0.533333333,0.470588235,PIC,-14.49863014,63.05753425
ODR,0.771084337,0.727272727,0.888888889,1,1,0.888888889,0.888888889,0.444444444,0.727272727,PIC,-14.36712329,63.1890411
ODR3,0.752941176,0.615384615,0.666666667,0.888888889,1,1,1,0.727272727,0.5,PIC,-14.33424658,63.22191781
ODR3,0.771084337,0.666666667,0.888888889,1,1,0.888888889,1,0.533333333,0.571428571,PIC,-14.30136986,63.25479452
ODR,0.62745098,0.8,0.888888889,1,1,0.363636364,1,0.470588235,0.4,PIC,-14.1369863,63.41917808
ODR3,0.864864865,1,0.888888889,1,1,0.727272727,1,0.666666667,0.8,PIC,-14.10410959,63.45205479
ODR3,0.587155963,0.4,1,0.8,1,1,1,0.666666667,0.228571429,PIC,-14.07123288,63.48493151
ODR3,0.587155963,0.296296296,0.615384615,0.8,0.888888889,0.727272727,1,0.727272727,0.4,PIC,-14.03835616,63.51780822
ODR,0.829268293,1,1,0.692307692,1,1,1,0.75,0.533333333,QUA,-8.252054795,48.23013699
ODR,0.680851064,0.888888889,0.888888889,0.615384615,0.533333333,0.727272727,0.888888889,0.615384615,0.533333333,QUA,-8.219178082,48.2630137
ODR,0.657407407,1,1,1,0.818181818,1,0.9,0.818181818,0.2,QUA,-8.18630137,48.29589041
ODR,0.694736842,0.888888889,1,0.4,1,1,1,0.8,0.363636364,QUA,-8.153424658,48.32876712
ODR,0.717391304,1,0.727272727,1,0.9,0.888888889,0.8,0.888888889,0.333333333,QUA,-8.021917808,48.46027397
ODR,0.64,1,0.533333333,0.888888889,0.8,1,0.571428571,0.727272727,0.32,QUA,-7.989041096,48.49315068
ODR,0.920634921,1,1,0.888888889,0.777777778,1,1,0.888888889,0.875,QUA,-6.838356164,49.64383562
ODR,0.758064516,1,1,0.384615385,1,1,0.857142857,0.857142857,0.545454545,QUA,-6.805479452,49.67671233
ODR,0.827586207,1,0.857142857,0.75,1,1,0.666666667,0.857142857,0.666666667,QUA,-6.77260274,49.70958904
ODR,0.857142857,1,1,0.666666667,0.857142857,1,1,0.857142857,0.666666667,QUA,-6.64109589,49.84109589
ODR,0.883333333,1,0.875,0.538461538,1,1,1,1,1,QUA,-6.608219178,49.8739726
ODR,0.857142857,0.888888889,0.888888889,1,1,0.8,0.888888889,0.642857143,0.9,QUA,-6.575342466,49.90684932
ODR,0.868421053,1,1,0.8,1,1,0.75,0.666666667,0.888888889,QUA,-6.542465753,49.93972603
ODR,0.875,1,1,0.888888889,1,0.888888889,0.888888889,0.777777778,0.666666667,QUA,-6.180821918,50.30136986
ODR,0.765432099,1,0.875,1,1,1,0.5,0.4375,0.888888889,QUA,-6.147945205,50.33424658
ODR,0.84,1,1,1,0.833333333,1,0.857142857,0.75,0.555555556,QUA,-6.115068493,50.36712329
ODR,0.941176471,1,0.888888889,1,1,1,0.888888889,0.888888889,0.888888889,QUA,-6.082191781,50.4
ODR,0.808080808,0.666666667,0.625,1,0.769230769,1,1,0.909090909,0.714285714,ROS,-20.58082192,45.46849315
ODR3,0.963855422,1,0.833333333,1,1,1,1,1,0.909090909,ROS,-20.54794521,45.50136986
ODR3,0.966666667,1,1,1,0.875,1,1,0.875,1,ROS,-20.51506849,45.53424658
ODR3,0.975609756,1,1,1,1,0.909090909,1,1,0.909090909,ROS,-20.48219178,45.56712329
ODR3,0.632075472,0.571428571,0.529411765,0.5,0.571428571,1,1,0.571428571,0.642857143,ROS,-20.08767123,45.96164384
ODR3,0.904109589,0.888888889,1,0.8,0.9,1,1,0.8,0.9,ROS,-20.05479452,45.99452055
ODR3,0.901408451,1,1,0.727272727,1,1,0.888888889,0.8,0.888888889,ROS,-20.02191781,46.02739726
ODR,0.449438202,0.714285714,0.526315789,0.238095238,0.285714286,1,0.769230769,0.37037037,0.555555556,ROS,-19.89041096,46.15890411
ODR3,0.820512821,0.888888889,1,0.615384615,0.615384615,1,0.888888889,0.8,1,ROS,-19.85753425,46.19178082
ODR3,0.829545455,0.9,0.833333333,0.6,0.9,1,1,0.818181818,0.75,ROS,-19.82465753,46.22465753
ODR,0.559440559,0.909090909,0.454545455,0.238095238,0.909090909,0.909090909,0.833333333,0.625,0.555555556,ROS,-19.66027397,46.3890411
ODR3,0.96969697,1,1,0.888888889,1,1,1,0.888888889,1,ROS,-19.62739726,46.42191781
ODR3,0.888888889,0.888888889,0.727272727,0.8,0.888888889,1,0.888888889,1,1,ROS,-19.59452055,46.45479452
ODR,0.609090909,0.615384615,0.533333333,0.727272727,0.888888889,1,0.5,0.36,0.75,ROS,-19.43013699,46.61917808
ODR3,0.842105263,0.909090909,1,1,0.588235294,0.909090909,0.666666667,1,0.909090909,ROS,-19.39726027,46.65205479
ODR3,0.752688172,0.818181818,0.818181818,0.380952381,0.818181818,1,0.75,0.9,1,ROS,-19.36438356,46.68493151
ODR,0.727272727,1,0.588235294,0.666666667,0.625,1,0.833333333,0.555555556,0.833333333,ROS,-19.2,46.84931507
ODR,0.647058824,0.5,0.434782609,0.714285714,0.75,0.75,1,0.909090909,0.526315789,ROS,-18.73972603,47.30958904
ODR3,0.735632184,1,0.727272727,0.8,0.470588235,1,0.571428571,0.888888889,0.8,ROS,-18.70684932,47.34246575
ODR,0.581818182,0.615384615,0.296296296,0.666666667,0.8,1,0.888888889,0.615384615,0.444444444,ROS,-17.81917808,48.23013699
ODR3,0.559322034,0.8,0.533333333,0.307692308,0.75,1,0.666666667,0.444444444,0.529411765,ROS,-17.75342466,48.29589041
ODR3,0.615384615,0.666666667,0.363636364,0.727272727,1,1,0.888888889,0.666666667,0.363636364,ROS,-17.72054795,48.32876712
ODR,0.571428571,0.727272727,0.571428571,0.470588235,0.888888889,0.571428571,0.571428571,0.470588235,0.5,ROS,-17.3260274,48.72328767
ODR3,0.810126582,0.615384615,0.8,1,0.8,0.888888889,0.888888889,0.666666667,1,ROS,-17.29315068,48.75616438
ODR3,0.842105263,0.8,1,0.666666667,0.666666667,1,1,0.888888889,0.888888889,ROS,-17.26027397,48.7890411
ODR,0.790123457,0.8,1,1,0.888888889,1,0.571428571,0.727272727,0.615384615,ROS,-13.67671233,52.37260274
ODR3,0.838095238,0.6875,1,0.916666667,0.6875,1,0.916666667,0.846153846,0.785714286,ROS,-13.64383562,52.40547945
ODR,0.581560284,0.785714286,0.423076923,0.909090909,0.526315789,1,0.714285714,0.434782609,0.416666667,ROS,-13.47945205,52.56986301
ODR3,0.697916667,0.615384615,0.666666667,0.666666667,0.533333333,1,0.888888889,0.692307692,0.692307692,ROS,-13.44657534,52.60273973
ODR3,0.580357143,0.4,0.533333333,0.5,0.571428571,0.888888889,0.615384615,0.8,0.615384615,ROS,-13.41369863,52.63561644
ODR3,0.776699029,0.833333333,1,0.909090909,0.833333333,1,1,0.416666667,0.714285714,ROS,-13.38082192,52.66849315
ODR3,0.570247934,0.727272727,0.533333333,0.642857143,0.642857143,0.9,0.9,0.25,0.6,ROS,-13.34794521,52.70136986
ODR,0.648854962,0.785714286,0.3125,0.714285714,0.647058824,0.785714286,0.846153846,0.909090909,0.6875,ROS,-13.21643836,52.83287671
ODR3,0.925233645,1,0.866666667,1,0.923076923,1,0.928571429,0.928571429,0.8,ROS,-13.18356164,52.86575342
ODR3,0.843373494,0.75,0.818181818,0.888888889,1,1,1,0.666666667,0.75,ROS,-13.15068493,52.89863014
ODR,0.786407767,1,0.846153846,0.909090909,0.833333333,0.909090909,0.833333333,0.555555556,0.625,ROS,-12.88767123,53.16164384
ODR3,0.855263158,0.666666667,0.888888889,0.888888889,0.8,0.888888889,1,0.888888889,0.9,ROS,-12.85479452,53.19452055
ODR3,0.818181818,0.666666667,1,0.8,0.727272727,1,1,0.888888889,0.636363636,ROS,-12.82191781,53.22739726
ODR3,0.8875,1,0.9,1,0.6,0.818181818,1,1,1,ROS,-12.7890411,53.26027397
ODR3,0.673684211,0.666666667,0.8,1,0.363636364,1,0.888888889,0.615384615,0.615384615,ROS,-12.75616438,53.29315068
ODR,0.637254902,0.888888889,0.888888889,0.666666667,0.5,0.888888889,0.9,0.296296296,0.8,ROS,-12.72328767,53.3260274
ODR,0.719101124,0.533333333,0.666666667,1,0.8,0.888888889,0.888888889,1,0.444444444,ROS,-9.073972603,56.97534247
ODR3,0.673684211,0.470588235,0.8,1,0.888888889,0.888888889,0.888888889,1,0.32,ROS,-9.04109589,57.00821918
ODR3,0.603773585,0.533333333,0.8,0.727272727,0.8,0.727272727,0.8,0.380952381,0.444444444,ROS,-9.008219178,57.04109589
ODR3,0.610619469,0.75,1,1,1,1,0.571428571,0.242424242,0.444444444,ROS,-8.975342466,57.0739726
ODR,0.956521739,0.888888889,1,1,1,1,0.9,1,0.888888889,ROS,-8.843835616,57.20547945
ODR3,0.986486486,1,1,1,1,1,1,1,0.9,ROS,-8.810958904,57.23835616
ODR3,0.888888889,1,1,0.888888889,0.615384615,0.888888889,0.888888889,1,1,ROS,-8.778082192,57.27123288
ODR3,0.914285714,0.8,1,1,1,1,1,1,0.666666667,ROS,-8.745205479,57.30410959
ODR,0.878378378,1,0.888888889,1,0.5,1,1,1,1,ROS,-8.61369863,57.43561644
ODR3,0.908045977,1,0.909090909,1,0.909090909,1,1,0.909090909,0.642857143,ROS,-8.580821918,57.46849315
ODR3,0.955223881,0.8,1,1,1,1,1,1,0.888888889,ROS,-8.547945205,57.50136986
ODR3,0.771084337,0.666666667,0.615384615,0.888888889,1,0.888888889,0.888888889,0.8,0.615384615,ROS,-8.515068493,57.53424658
ODR,0.853333333,0.888888889,0.8,0.888888889,0.888888889,1,0.888888889,0.888888889,0.666666667,ROS,-8.383561644,57.66575342
ODR3,0.931818182,1,1,1,0.833333333,1,1,1,0.714285714,ROS,-8.350684932,57.69863014
ODR3,0.943661972,0.888888889,1,1,1,1,1,0.818181818,0.888888889,ROS,-8.317808219,57.73150685
ODR,0.888888889,0.888888889,0.8,0.8,0.888888889,1,1,0.8,1,ROS,-8.153424658,57.89589041
ODR3,0.677083333,0.533333333,0.727272727,0.8,0.727272727,1,1,0.421052632,0.615384615,ROS,-8.120547945,57.92876712
ODR,0.842105263,0.666666667,0.888888889,1,0.8,1,0.888888889,0.8,0.8,ROS,-7.923287671,58.1260274
ODR3,0.96969697,1,1,1,0.888888889,1,1,1,0.888888889,ROS,-7.890410959,58.15890411
ODR3,0.876712329,0.888888889,0.727272727,0.888888889,0.888888889,1,0.8,1,0.888888889,ROS,-7.857534247,58.19178082
ODR,0.876712329,0.8,1,1,0.888888889,0.888888889,0.888888889,0.727272727,0.888888889,ROS,-7.824657534,58.22465753
ODR,0.914285714,0.888888889,0.888888889,0.888888889,1,1,1,0.888888889,0.8,ROS,-7.693150685,58.35616438
ODR3,0.914285714,0.888888889,0.888888889,0.888888889,1,1,1,0.8,0.888888889,ROS,-7.660273973,58.3890411
ODR3,0.927536232,0.8,1,0.888888889,1,1,1,0.888888889,0.888888889,ROS,-7.62739726,58.42191781
ODR,0.644736842,0.75,0.875,0.5,0.545454545,1,0.857142857,0.461538462,0.545454545,ROS,-3.320547945,62.72876712
ODR3,0.481203008,0.470588235,0.444444444,0.363636364,0.888888889,0.888888889,0.888888889,0.285714286,0.380952381,ROS,-3.287671233,62.76164384
ODR3,0.831168831,1,0.8,0.8,0.888888889,0.888888889,0.727272727,1,0.666666667,ROS,-3.221917808,62.82739726
ODR,0.927536232,0.888888889,0.888888889,1,0.888888889,1,1,0.888888889,0.888888889,ROS,-3.090410959,62.95890411
ODR3,0.941176471,1,0.888888889,0.888888889,0.888888889,1,1,0.888888889,1,ROS,-3.057534247,62.99178082
ODR3,0.868421053,0.727272727,0.8,1,1,1,0.888888889,1,0.666666667,ROS,-2.991780822,63.05753425
ODR,0.905405405,1,0.9,1,1,0.9,0.888888889,0.888888889,0.727272727,ROS,-2.860273973,63.1890411
ODR3,0.75,1,1,0.818181818,0.9,1,1,0.32,0.8,ROS,-2.82739726,63.22191781
ODR3,0.864864865,0.888888889,0.888888889,0.888888889,0.8,1,1,0.666666667,0.888888889,ROS,-2.794520548,63.25479452
ODR,0.831168831,1,0.666666667,1,0.666666667,1,1,0.666666667,0.888888889,ROS,-2.761643836,63.28767123
ODR,0.802469136,1,1,0.8,0.727272727,1,0.9,0.5,0.8,ROS,-2.630136986,63.41917808
ODR3,0.842105263,1,1,1,0.428571429,1,0.857142857,1,1,ROS,-2.597260274,63.45205479
ODR3,0.876712329,0.888888889,1,0.888888889,0.888888889,0.727272727,0.888888889,0.8,1,ROS,-2.564383562,63.48493151
