ID,session,mature,age,sex,hemi,Frontal_contra,Parietal_contra,Temporal_contra,Occipital_contra,SC_contra,diencephalon_contra,mesencephalon_contra,metencephalon_contra,myelencephalon_contra
TRI,2,-15.7,34.8,F,L,6411.125,4392.125,4242.25,5290.125,3993.5,1277.625,631.375,4126.375,563.5
TRI,3,-12.2,38.3,F,L,6478,4452.625,4242.375,5343.625,4039.375,1268,620.625,4137.5,561.875
TRI,4,-9.3,41.2,F,L,6299.75,4222.875,4363.5,5349.75,4001.625,1249.375,625.125,4251.875,586.5
TRI,5,-6.1,44.4,F,L,6410.5,4128.75,4384.375,5386.875,3959.25,1246.375,602.375,4185,545.5
TRI,6,-3.2,47.3,F,L,6412.125,4305.125,4320.875,5483.125,4044.25,1293.375,631.375,4319.875,566
TRI,7,0.2,50.7,F,L,6274.875,4239.75,4404.25,5364.625,4171.375,1288.375,638.75,4229.875,567.5
TRI,8,3.2,53.7,F,L,6390.25,4342.875,4406.25,5555.875,4117,1311,645.25,4343.25,591.75
TRI,9,7.2,57.7,F,L,6755.625,4438.5,4679.75,5624.625,4151.375,1331.25,660.375,4447.125,595.875
TRI,10,9.3,59.8,F,L,6724.125,4572.125,4607,5640.75,4230.25,1355.125,651.375,4425.375,607.25
TRI,11,12.7,63.2,F,L,6245.75,4228.625,4275,5416.375,4114.875,1291.125,638.5,4352,614
UNI,1,-13.1,32.1,F,R,5532.75,3378.125,3701.75,4656.5,3403.5,1016.875,485.375,3497.25,452.125
UNI,2,-9.2,36,F,R,5652.875,3353.75,3469.25,4620.25,3450.5,1057.375,499.5,3549.5,486.625
UNI,3,-5.6,39.6,F,R,5587.625,3398.625,3464.75,4625,3464,1104.75,506.375,3459.75,411
UNI,4,-2.8,42.4,F,R,5781.75,3380.375,3672,4718.875,3513.375,1077.625,523.875,3657.5,477.125
UNI,5,0.4,45.6,F,R,5983.375,3428.25,3619.125,4501.375,3512.375,1076.25,507.875,3467.375,430.625
UNI,6,3.5,48.7,F,R,5673.25,3475.125,3626.5,4662.25,3568.375,1076,511.25,3652.625,513.5
UNI,7,6.7,51.9,F,R,5525.75,3331.375,3570.75,4685.75,3576.75,1097.625,534.875,3661,485.25
UNI,8,9.7,54.9,F,R,5686.375,3483.375,3623.375,4703,3551.25,1080,527.25,3582.375,509.375
UNI,9,13.7,58.9,F,R,6066.5,3562.25,3797.125,4764.25,3703.375,1140,546.625,3736.75,557.25
UNI,10,15.9,61.1,F,R,5658.25,3427.5,3716.875,4737.625,3627.375,1107.5,551.375,3725.875,504
UNI,11,19.2,64.4,F,R,5433.75,3305.375,3459.375,4562.75,3493.25,1099.125,508.25,3617.375,539.125
VIK,1,-19.7,36.2,M,R,6449.25,3799.375,4258.875,4971.25,3698.25,1112.75,534.25,4058,568
VIK,2,-15.7,40.1,M,R,6618.625,3718.5,3540.125,4936.5,3431.625,1131.625,541.625,3463.875,538.625
VIK,3,-12.2,43.6,M,R,6338.625,3785.75,3555,4825.75,3405.5,1133.75,553.5,3835.75,562.375
VIK,4,-9.4,46.5,M,R,6461.25,3649.625,4087.875,4853.875,3623.875,1113.75,553.125,4047.125,572.75
VIK,5,-6.1,49.7,M,R,6512.625,3631.5,3763.25,4819.375,3600,1146.25,566.375,4007.625,577.375
VIK,6,-3.1,52.7,M,R,6747.125,3800.75,4027,5018.25,3723,1167.125,577.375,4157.625,628.25
VIK,7,0.1,56,M,R,6433.75,3832.5,3997.875,5070,3732.125,1188.875,572.5,4270.125,591.5
VIK,8,3.1,59,M,R,6343,3707.75,4141.375,4995.875,3694,1172.75,559.375,4315.625,588.5
VIK,9,7.2,63,M,R,6639.25,3816.25,4112.125,5051.125,3757,1191.125,590.25,4253.875,632.25
VIK,10,9.3,65.2,M,R,6822,3877.75,4178.625,4991.125,3711,1180.125,579.625,4271,563.5
VIK,11,12.7,68.5,M,R,5801.875,3704,3851,4975,3618.5,1174.5,551,3989.875,565.75
