eff_dim,sess,mature,age,ID
4.11843053060638,QUA001_1,-8.25205479452055,48.2301369863014,QUA
3.19302560186742,QUA002_1,-8.21917808219178,48.2630136986301,QUA
3.62235067703624,QUA003_1,-8.18630136986301,48.2958904109589,QUA
3.15173959058786,QUA004_1,-8.15342465753425,48.3287671232877,QUA
3.58312030993188,QUA008_1,-6.80547945205479,49.6767123287671,QUA
3.34109581872416,QUA009_1,-6.77260273972603,49.7095890410959,QUA
3.01130328982258,QUA018_1,-2.99178082191781,53.4904109589041,QUA
3.32669614616024,QUA021_1,-2.89315068493151,53.5890410958904,QUA
3.66485613760782,QUA022_1,-2.86027397260274,53.6219178082192,QUA
3.88679372568127,QUA023_1,-2.72876712328767,53.7534246575342,QUA
2.69887466111492,QUA024_1,-2.6958904109589,53.786301369863,QUA
3.66775480409688,QUA025_1,-2.66301369863014,53.8191780821918,QUA
2.84144613140211,QUA026_1,-2.63013698630137,53.8520547945205,QUA
3.34829576671421,QUA027_1,-2.4986301369863,53.9835616438356,QUA
3.12909871475597,QUA028_1,-2.46575342465753,54.0164383561644,QUA
3.50430791791991,oli002_1,-12.6246575342466,46.4547945205479,OLI
3.88256745632687,oli006_1,-12.3945205479452,46.6849315068493,OLI
3.9536075270524,oli009_1,-11.9671232876712,47.1123287671233,OLI
2.19753656356511,oli010_1,-11.9342465753425,47.1452054794521,OLI
4.02454289672031,oli013_1,-10.8493150684931,48.2301369863014,OLI
4.37780780273603,oli014_1,-10.8164383561644,48.2630136986301,OLI
3.7351762286538,oli016_1,-10.6191780821918,48.4602739726027,OLI
2.92771084337349,oli017_1,-10.586301369863,48.4931506849315,OLI
2.54168899525045,oli018_1,-10.5534246575342,48.5260273972603,OLI
3.47985234563129,oli019_1,-10.5205479452055,48.558904109589,OLI
3.74122200991114,oli022_1,-10.3232876712329,48.7561643835616,OLI
3.83752046803198,oli023_1,-10.2904109589041,48.7890410958904,OLI
4.19632497971922,oli025_1,-5.55616438356164,53.5232876712329,OLI
3.40833262861006,oli027_1,-5.49041095890411,53.5890410958904,OLI
3.82062830839182,oli028_1,-5.45753424657534,53.6219178082192,OLI
3.86003893954254,oli029_1,-5.32602739726027,53.7534246575342,OLI
3.29358766524737,oli030_1,-5.29315068493151,53.786301369863,OLI
3.21257644974045,oli031_1,-5.26027397260274,53.8191780821918,OLI
4.21517085154737,oli032_1,-5.22739726027397,53.8520547945205,OLI
4.41131259457941,oli033_1,-5.06301369863014,54.0164383561644,OLI
3.37148762818569,oli034_1,-5.03013698630137,54.0493150684931,OLI
3.42455588074408,oli037_1,-0.657534246575342,58.4219178082192,OLI
3.29699563053278,oli038_1,-0.624657534246575,58.4547945205479,OLI
3.52031268739429,oli039_1,-0.493150684931507,58.586301369863,OLI
3.89585033399274,oli040_1,-0.46027397260274,58.6191780821918,OLI
3.46114373560142,oli041_1,-0.427397260273973,58.6520547945206,OLI
3.73841400202321,oli043_1,-0.263013698630137,58.8164383561644,OLI
3.8616423033259,oli044_1,-0.23013698630137,58.8493150684932,OLI
3.13746026409576,oli045_1,-0.0328767123287671,59.0465753424658,OLI
3.41560845758083,oli046_1,0,59.0794520547945,OLI
