temp_dim,sess,mature,age,ID
3.152064307,QUA001_1,-8.252054795,48.23013699,QUA
2.76008277,QUA002_1,-8.219178082,48.2630137,QUA
3.562835162,QUA003_1,-8.18630137,48.29589041,QUA
2.650533816,QUA004_1,-8.153424658,48.32876712,QUA
3.667736779,QUA008_1,-6.805479452,49.67671233,QUA
3.568883763,QUA009_1,-6.77260274,49.70958904,QUA
NaN,QUA018_1,-2.991780822,53.49041096,QUA
3.240109197,QUA021_1,-2.893150685,53.5890411,QUA
3.834586466,QUA022_1,-2.860273973,53.62191781,QUA
3.35432889,QUA023_1,-2.728767123,53.75342466,QUA
2.265056157,QUA024_1,-2.695890411,53.78630137,QUA
3.194125577,QUA025_1,-2.663013699,53.81917808,QUA
2.911212977,QUA026_1,-2.630136986,53.85205479,QUA
2.831430543,QUA027_1,-2.498630137,53.98356164,QUA
2.76095571,QUA028_1,-2.465753425,54.01643836,QUA
2.885764123,oli002_1,-12.62465753,46.45479452,OLI
3.134065104,oli006_1,-12.39452055,46.68493151,OLI
2.851674926,oli009_1,-11.96712329,47.11232877,OLI
2.635036496,oli010_1,-11.93424658,47.14520548,OLI
3.657830198,oli013_1,-10.84931507,48.23013699,OLI
4.188405797,oli014_1,-10.81643836,48.2630137,OLI
3.026118203,oli016_1,-10.61917808,48.46027397,OLI
1.344086022,oli017_1,-10.58630137,48.49315068,OLI
1.890806684,oli018_1,-10.55342466,48.5260274,OLI
3.175908425,oli019_1,-10.52054795,48.55890411,OLI
1.83408241,oli022_1,-10.32328767,48.75616438,OLI
2.632113444,oli023_1,-10.29041096,48.7890411,OLI
3.989540299,oli025_1,-5.556164384,53.52328767,OLI
3.267708717,oli027_1,-5.490410959,53.5890411,OLI
3.462451944,oli028_1,-5.457534247,53.62191781,OLI
2.49882986,oli029_1,-5.326027397,53.75342466,OLI
1.741226346,oli030_1,-5.293150685,53.78630137,OLI
2.838477019,oli031_1,-5.260273973,53.81917808,OLI
3.793298239,oli032_1,-5.22739726,53.85205479,OLI
