"","Frontal_contra_mature","Parietal_contra_mature","Temporal_contra_mature","Occipital_contra_mature"
"-35",1.67683719885915,0.814424003570528,1.0251481867684,1.78437054708524
"-25",1.42089532657021,0.773762542820249,1.01475116898302,1.71959798860818
"-15",0.837364349988048,0.683710002419989,1.0045546894386,1.30307210739388
"-5",-0.197198931235976,0.59443088303513,0.994561093809427,0.869386688107195
"5",-1.13937202088583,0.514790521425008,0.984757913844846,0.397925599924517
"15",-1.66682411266358,0.459597157401254,0.97514626070657,0.134795051174044
