ID,session,mature,age,sex,hemi,anterior_cingulate_gyrus_contra,orbital_frontal_cortex_contra,lateral_prefrontal_cortex_contra,motor_cortex_contra,somatosensory_cortex_contra,superior_parietal_lobule_contra,inferior_parietal_lobule_contra,posterior_medial_cortex_contra,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra,extrastriate_visual_areas_2_4_contra,primary_visual_cortex_contra,lateral_and_ventral_pallium_contra,medial_pallium_contra,amygdala_contra,basal_ganglia_contra,diagonal_subpallium_contra,preoptic_complex_contra,hypothalamus_contra,prethalamus_contra,thalamus_contra,epithalamus_contra,pretectum_contra,midbrain_contra,pons_contra,cerebellum_contra,medulla_contra
PIC,8,-20.3,58.3,M,L,605.625,1314.375,1735.375,2490.5,1256.375,922,1151.75,750,398.125,308.75,1806.875,802.25,488.25,338.375,98.375,2961.75,1991.375,306.375,640.25,279.25,2268.875,180.875,179.25,183.625,36.25,963.625,14.125,28.625,679.75,855.375,3376.5,678.875
PIC,9,-15.9,62.8,M,L,624.125,1382.625,1634.5,2356.125,1211.125,924.125,1116.25,716.75,403.875,288.75,1827.25,799.25,484.5,327,99.125,2928.875,2012.75,299.25,667.5,279.625,2347.25,187.375,189.875,189.875,43.625,998.875,15.5,29.875,694.75,883,3471.5,696.625
PIC,10,-14.1,64.5,M,L,614.875,1432.5,1780.375,2430.5,1227.625,900.375,1134.875,704.5,393.125,311.125,1810.25,852.5,479.125,329.75,96.125,2941.375,1979.375,306.25,658.125,274.75,2268.375,184.75,187.5,185.375,39.125,988.5,15.5,31.5,689,897.125,3416.125,705.125
PIC,11,-10.7,67.9,M,L,611.25,1224.5,1627.875,2547,1281,922.625,1172,738.25,369.375,257.125,1800.75,822,484.875,345.125,96.25,2991,2032.625,290.125,640.375,259,2320.375,179.5,182.875,182.875,40.625,999.75,15,31.125,701.875,943.5,3504.875,697.375
QUA,1,-19.7,37.6,M,R,508.375,1297.25,1281,2001.5,922.875,679.25,916.375,597.25,344.875,362,1759.75,742,441.125,287.5,78.125,2549,1812.125,302.875,542.75,228.375,2077,162.25,155.125,157.875,33.125,810.375,10.75,28,587.75,737.375,3338.5,531
QUA,2,-15.7,41.6,M,R,517.125,1189.25,1356.25,2199.5,978.875,704.875,972.875,594.375,353.125,379.75,1726.5,769.75,478.875,278.75,80.875,2559.125,1891.125,314.375,545.375,235.375,2078.5,168.25,142.75,159.625,33,857,10.875,22.875,600.125,777.875,3317.125,565
QUA,3,-12.2,45.1,M,R,513.625,1344.125,1482,2360.75,1009.625,746.75,1023.875,608.625,262.75,311.875,1589.625,779.625,523.625,291.25,85.25,2711,1946.375,312.375,461,257.5,2019,175.5,210.875,178.625,31.625,704,11.375,21,557.125,657.25,3340,435.375
QUA,4,-9.3,47.9,M,R,542.75,1367.625,1498.375,2237.25,1027,697,1009.375,613,327.125,265.5,1814.5,765.25,433.375,309.125,74.25,2614.375,1857.875,289.375,543.25,230.125,2123.875,138.125,134.375,163.25,33.5,836.5,12.25,24.375,593.875,773.875,3430.875,561.625
QUA,5,-6.1,51.2,M,R,557.5,1419.5,1523.5,2318.625,1011.125,716.625,1001.375,605.125,308.625,288.625,1733.625,755.375,423.5,314,82.5,2585,1873.375,298.75,552.375,241.25,2145.25,145.75,151.5,172.75,38.375,840.375,14.125,26.75,587.625,759.75,3329.375,528.75
QUA,6,-3.2,54.1,M,R,515.375,1173.125,1486.125,2352.25,987,743.625,983.875,621.5,293.625,284,1651,734.125,476.125,303.25,84.625,2622.5,1866.75,317.75,536.875,249.75,2111.125,170.625,150.125,177.375,35,875.375,12.5,26.75,627.25,825.125,3426.25,606.5
QUA,7,0.1,57.4,M,R,524.75,1270.375,1512.5,2330.75,1031.75,749.125,994.625,627.625,295.5,335.5,1719.125,784.125,516.875,299.5,84.625,2757.375,1924.25,318.125,543.375,248,2159.375,182.125,172.875,186.75,39,884.75,13.875,24.75,661.5,892,3522,632.875
ROS,1,-29.4,37.6,M,L,613.875,1469,1845,2654.25,1325.25,884.125,1224.625,726.875,323,326.875,1965.375,880.125,523.25,361.375,106.125,3381.25,2033.5,310.75,523.125,230.125,2384.75,170.5,163.5,166.125,29,924.5,14.125,27.875,631,830.875,3522.25,602.25
ROS,2,-25.4,41.6,M,L,608.5,1538,1940.625,2931.875,1469.875,973.25,1294.375,718.125,213.25,198.25,1815.375,847.75,549.5,367.875,119.125,3462.25,2234,300.125,485,197.875,2425.875,168.875,169.625,171.375,32.875,923.25,16.125,32.25,741.75,817.25,3377.375,607.5
ROS,3,-21.9,45.1,M,L,654.875,1605.875,1947.125,2872.625,1451.25,922.25,1285,694.75,276.5,318.75,2014.5,895,566.25,350.125,121.5,3447,2189.375,324.75,476.125,262,2303.875,183.875,226.875,224.625,32.25,815.375,12.5,28.875,718.125,875.5,3471.5,571.75
