ID,session,mature,age,sex,hemi,anterior_cingulate_gyrus_contra,orbital_frontal_cortex_contra,lateral_prefrontal_cortex_contra,motor_cortex_contra,somatosensory_cortex_contra,superior_parietal_lobule_contra,inferior_parietal_lobule_contra,posterior_medial_cortex_contra,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra,extrastriate_visual_areas_2_4_contra,primary_visual_cortex_contra
QUA,7,0.1,57.4,M,R,1.580704,1.657516,1.613563,1.962431,1.361402,1.271965,1.422049,1.57855,1.683063,1.780631,1.580232,1.573158,1.372951,1.140502,1.287661,1.256528,1.255603
ROS,1,-29.4,37.6,M,L,1.587786,1.733403,1.686224,1.976731,1.43231,1.307202,1.542071,1.758676,1.647511,1.995094,1.60057,1.557993,1.350718,1.165655,1.377917,1.284825,1.204193
ROS,2,-25.4,41.6,M,L,1.442067,1.549425,1.595132,1.873797,1.405607,1.29592,1.460087,1.579615,1.211043,1.627859,1.476627,1.45834,1.314949,1.092754,1.355009,1.24644,1.23397
ROS,3,-21.9,45.1,M,L,1.836051,1.977863,1.83485,2.216844,1.606743,1.500275,1.746123,2.007209,1.493648,2.134476,1.733026,1.724077,1.511144,1.27908,1.465828,1.46448,1.471954
ROS,4,-19.1,47.9,M,L,1.687839,1.869482,1.761911,2.106397,1.507115,1.376771,1.576033,1.792044,1.718711,2.011551,1.652936,1.539852,1.353769,1.243459,1.435837,1.331157,1.240852
ROS,5,-15.8,51.2,M,L,1.707294,1.807021,1.782232,2.137549,1.522116,1.397568,1.616612,1.802053,1.555215,1.868733,1.644647,1.555328,1.372285,1.28758,1.341609,1.34762,1.298459
ROS,6,-12.7,54.2,M,L,1.676694,1.723192,1.803639,2.19792,1.52652,1.383224,1.637141,1.803448,0.8245171,0.966414,1.461815,1.509644,1.421811,1.164477,1.413499,1.357715,1.341005
ROS,7,-9.5,57.4,M,L,1.674636,1.742557,1.742365,2.087827,1.501769,1.35615,1.586667,1.796445,1.891123,1.919166,1.662229,1.534002,1.325033,1.191561,1.437572,1.328962,1.270915
ROS,8,-6.6,60.4,M,L,1.702128,1.810172,1.769607,2.06251,1.479317,1.369505,1.601961,1.794137,1.857066,2.048101,1.66938,1.525825,1.385139,1.19971,1.412167,1.344982,1.318076
ROS,9,-2.5,64.5,M,L,1.702218,1.783003,1.796949,2.176276,1.484651,1.359183,1.569742,1.785971,1.896094,1.973672,1.619038,1.484124,1.381178,1.287608,1.407202,1.335377,1.272121
ROS,10,-0.4,66.6,M,L,1.702987,1.768866,1.74433,2.102181,1.497107,1.333688,1.573652,1.742942,1.840837,1.985585,1.670024,1.470646,1.385318,1.220053,1.419827,1.314618,1.286129
ROS,11,3,70,M,L,1.407496,1.632287,1.627558,1.910901,1.392285,1.310503,1.468397,1.706057,1.715613,1.656926,1.524012,1.412628,1.321638,1.135613,1.388609,1.245535,1.191453
SON,1,-22.3,33.2,M,R,1.615588,1.631748,1.667957,1.918836,1.354684,1.270985,1.403616,1.662616,1.686252,1.69495,1.553452,1.487524,1.216293,1.19231,1.310743,1.205695,1.25065
SON,2,-18.3,37.1,M,R,1.544585,1.601171,1.65446,1.961092,1.358267,1.296212,1.377826,1.630032,1.340692,1.499891,1.442456,1.457295,1.205912,1.204253,1.223931,1.187658,1.25462
SON,3,-14.8,40.7,M,R,1.591545,1.629242,1.713808,2.002943,1.39021,1.315463,1.433719,1.679904,1.220477,1.672261,1.433818,1.483208,1.22684,1.247477,1.325847,1.225839,1.283824
SON,4,-12,43.5,M,R,1.702958,1.646,1.728563,2.015832,1.383515,1.315248,1.418323,1.697276,1.788195,1.907537,1.58281,1.491899,1.225104,1.305477,1.328583,1.226817,1.304192
SON,5,-8.8,46.7,M,R,1.68347,1.714935,1.755983,2.041402,1.422342,1.333336,1.413277,1.633015,1.75821,1.792337,1.566176,1.514867,1.255944,1.233555,1.29589,1.227414,1.307734
SON,6,-5.6,49.8,M,R,1.619941,1.559515,1.742851,2.024989,1.399192,1.290995,1.41885,1.647932,1.643397,1.694743,1.496703,1.490392,1.211779,1.261949,1.278117,1.201533,1.300947
SON,7,-2.5,53,M,R,1.64203,1.614555,1.679338,1.99744,1.368677,1.30476,1.419734,1.643145,1.720635,1.801103,1.540934,1.517787,1.277414,1.265861,1.270846,1.204431,1.295243
SON,8,0.5,56,M,R,1.727404,1.722482,1.693197,2.008373,1.402924,1.308469,1.442693,1.733357,1.929984,1.682275,1.598202,1.47506,1.247442,1.318888,1.3145,1.24185,1.322344
SON,9,3.5,59,M,R,1.547786,1.526362,1.610187,1.903342,1.371637,1.288213,1.350059,1.579786,1.566382,1.702099,1.477669,1.442147,1.197546,1.27457,1.273918,1.185944,1.257867
SON,10,6.7,62.2,M,R,1.656949,1.627791,1.74023,2.01108,1.417132,1.293037,1.43106,1.711179,1.859979,1.812608,1.532401,1.477253,1.227235,1.287156,1.247152,1.209711,1.26988
SON,11,10.1,65.6,M,R,1.573995,1.570477,1.588379,1.875364,1.347686,1.268734,1.365654,1.582839,1.573167,1.695765,1.475918,1.427939,1.223083,1.256626,1.275187,1.193477,1.183053
TRI,1,-19.7,30.8,F,L,1.662472,1.686795,1.705149,1.974114,1.412994,1.353189,1.532197,1.899909,1.854249,1.828607,1.647008,1.609869,1.322071,1.312822,1.282324,1.266845,1.189838
TRI,2,-15.7,34.8,F,L,1.636333,1.646797,1.758823,2.017169,1.39865,1.428039,1.525785,1.87891,1.636423,1.889125,1.585424,1.58758,1.35076,1.314791,1.323326,1.247127,1.152642
TRI,3,-12.2,38.3,F,L,1.723992,1.76306,1.787183,2.119638,1.446134,1.423121,1.544257,1.97427,1.588189,1.813565,1.627978,1.626075,1.358707,1.363602,1.28999,1.280897,1.192454
TRI,4,-9.3,41.2,F,L,1.692508,1.720872,1.792055,2.116092,1.442283,1.431432,1.544664,1.898436,1.808139,1.738191,1.643122,1.563089,1.338273,1.337764,1.30108,1.287029,1.226686
TRI,5,-6.1,44.4,F,L,1.711645,1.745392,1.798374,2.055935,1.417658,1.435208,1.535953,1.912127,1.74271,1.831978,1.647728,1.56755,1.34767,1.38144,1.284328,1.281515,1.206245
TRI,6,-3.2,47.3,F,L,1.755169,1.590456,1.758787,2.152608,1.442276,1.435469,1.535128,1.909548,1.712882,1.843383,1.635854,1.564506,1.327163,1.365443,1.280642,1.28271,1.25755
TRI,7,0.2,50.7,F,L,1.71593,1.672887,1.768583,2.117812,1.442516,1.418774,1.555901,1.959284,1.861435,1.915648,1.694464,1.642219,1.362956,1.36783,1.338649,1.304533,1.242677
TRI,8,3.2,53.7,F,L,1.725272,1.694272,1.789106,2.113963,1.442299,1.455883,1.55718,1.903667,1.833585,1.814585,1.659275,1.614502,1.360653,1.322496,1.306167,1.287859,1.257774
TRI,9,7.2,57.7,F,L,1.704639,1.752424,1.752652,2.064834,1.446786,1.454944,1.548621,1.929445,1.848364,1.795747,1.649576,1.574377,1.353108,1.33241,1.333709,1.299066,1.208729
TRI,10,9.3,59.8,F,L,1.707769,1.622055,1.733474,2.078332,1.440752,1.443229,1.541675,1.934962,1.767171,1.917721,1.593537,1.560003,1.331593,1.320571,1.293825,1.265222,1.201118
TRI,11,12.7,63.2,F,L,1.509991,1.596505,1.601559,1.887097,1.344291,1.352999,1.450297,1.708413,1.728923,1.755476,1.523462,1.495504,1.334034,1.368665,1.329611,1.243679,1.183448
UNI,1,-13.1,32.1,F,R,1.603912,1.513464,1.593311,1.894382,1.34742,1.294299,1.432275,1.573685,1.672251,1.715518,1.530413,1.392855,1.21758,1.277272,1.395185,1.200761,1.198887
UNI,2,-9.2,36,F,R,1.685814,1.627017,1.660627,1.941573,1.346335,1.297105,1.431771,1.546064,1.347291,1.811162,1.494558,1.395689,1.211278,1.213422,1.350856,1.199795,1.179099
UNI,3,-5.6,39.6,F,R,1.722847,1.514001,1.674055,1.99447,1.402694,1.356093,1.459261,1.671952,1.517773,1.726936,1.590999,1.4032,1.230688,1.268541,1.323174,1.229422,1.223205
UNI,4,-2.8,42.4,F,R,1.651611,1.579729,1.681276,1.977982,1.387153,1.309755,1.445982,1.612942,1.557316,1.763719,1.557076,1.412528,1.188212,1.258705,1.336292,1.21934,1.21382
UNI,5,0.4,45.6,F,R,1.69515,1.659432,1.705065,2.03834,1.377948,1.349031,1.452405,1.615296,1.68129,1.873067,1.490287,1.388378,1.217499,1.285226,1.2927,1.216875,1.197983
UNI,6,3.5,48.7,F,R,1.720835,1.587146,1.664221,1.968954,1.4195,1.345872,1.439773,1.620801,1.580884,1.790271,1.551755,1.390791,1.247316,1.230132,1.379859,1.219007,1.211224
UNI,7,6.7,51.9,F,R,1.682237,1.599952,1.654975,1.912383,1.390991,1.354276,1.453953,1.619271,1.786106,1.821092,1.577409,1.427391,1.238494,1.266698,1.39326,1.243839,1.232605
UNI,8,9.7,54.9,F,R,1.712308,1.53265,1.676167,1.99551,1.39312,1.341919,1.467539,1.618042,1.600665,1.884286,1.533992,1.433706,1.23607,1.319342,1.417168,1.231209,1.216415
UNI,9,13.7,58.9,F,R,1.680527,1.674857,1.732929,1.978337,1.406402,1.332509,1.444327,1.602535,1.535366,1.929536,1.541927,1.419923,1.253637,1.252612,1.396727,1.216919,1.188726
UNI,10,15.9,61.1,F,R,1.689291,1.637909,1.681118,1.976767,1.418857,1.375498,1.499467,1.656845,1.076948,1.805259,1.540727,1.458523,1.266259,1.29556,1.433014,1.252749,1.249711
UNI,11,19.2,64.4,F,R,1.606023,1.563836,1.582138,1.921652,1.357712,1.310449,1.42843,1.601662,1.684019,1.778401,1.522901,1.374617,1.200173,1.267181,1.374795,1.213094,1.154254
VIK,1,-19.7,36.2,M,R,1.674128,1.609729,1.73257,1.915043,1.356662,1.275751,1.424376,1.640117,1.833972,1.943947,1.595473,1.522398,1.249133,1.198377,1.265852,1.240243,1.22971
VIK,2,-15.7,40.1,M,R,1.609274,1.630583,1.775491,2.018461,1.362301,1.303379,1.460177,1.722196,1.446129,1.518488,1.464141,1.458687,1.209931,1.230139,1.342243,1.242455,1.197735
VIK,3,-12.2,43.6,M,R,1.648041,1.589104,1.799889,2.010927,1.408478,1.315211,1.459767,1.656931,1.490566,1.728806,1.490944,1.481932,1.310158,1.241145,1.366248,1.267358,1.199763
VIK,4,-9.4,46.5,M,R,1.584859,1.671533,1.76349,1.991721,1.370471,1.290165,1.451728,1.698793,1.742012,1.858597,1.600443,1.509146,1.291787,1.210501,1.333917,1.259121,1.222081
VIK,5,-6.1,49.7,M,R,1.657398,1.671712,1.777444,2.003773,1.381181,1.310382,1.435838,1.715336,1.533586,1.682481,1.542175,1.510451,1.279349,1.250056,1.327554,1.258092,1.222703
VIK,6,-3.1,52.7,M,R,1.590955,1.625347,1.767367,2.047733,1.400688,1.344585,1.490387,1.71496,1.37452,1.750127,1.543115,1.545603,1.298528,1.279626,1.311923,1.284795,1.245446
VIK,7,0.1,56,M,R,1.665466,1.560752,1.722265,2.021792,1.400233,1.360593,1.475726,1.71102,1.722861,1.745899,1.57068,1.515763,1.255323,1.257105,1.392113,1.277689,1.217528
VIK,8,3.1,59,M,R,1.615055,1.707842,1.729077,1.992385,1.396919,1.34079,1.468238,1.740343,1.932299,1.924621,1.62627,1.559396,1.27465,1.252123,1.377132,1.277772,1.225932
VIK,9,7.2,63,M,R,1.684604,1.684653,1.832007,2.023093,1.399801,1.34367,1.47169,1.672596,1.818557,1.944122,1.572732,1.481743,1.255858,1.262908,1.311542,1.262286,1.226449
VIK,10,9.3,65.2,M,R,1.633026,1.706226,1.756422,2.049717,1.40458,1.334289,1.435738,1.656388,1.814943,1.800178,1.573813,1.501834,1.262472,1.228919,1.305527,1.255481,1.188152
VIK,11,12.7,68.5,M,R,1.610568,1.514428,1.602803,1.916047,1.374282,1.328875,1.412518,1.671392,1.774489,1.754057,1.535481,1.433382,1.226603,1.273796,1.310509,1.265439,1.224848
