ID,session,mature,age,sex,hemi,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra
TRI,7,0.2,50.7,F,L,1.861435,1.915648,1.694464,1.642219,1.362956,1.36783,1.338649
TRI,8,3.2,53.7,F,L,1.833585,1.814585,1.659275,1.614502,1.360653,1.322496,1.306167
TRI,9,7.2,57.7,F,L,1.848364,1.795747,1.649576,1.574377,1.353108,1.33241,1.333709
TRI,10,9.3,59.8,F,L,1.767171,1.917721,1.593537,1.560003,1.331593,1.320571,1.293825
TRI,11,12.7,63.2,F,L,1.728923,1.755476,1.523462,1.495504,1.334034,1.368665,1.329611
UNI,1,-13.1,32.1,F,R,1.672251,1.715518,1.530413,1.392855,1.21758,1.277272,1.395185
UNI,2,-9.2,36,F,R,1.347291,1.811162,1.494558,1.395689,1.211278,1.213422,1.350856
UNI,3,-5.6,39.6,F,R,1.517773,1.726936,1.590999,1.4032,1.230688,1.268541,1.323174
UNI,4,-2.8,42.4,F,R,1.557316,1.763719,1.557076,1.412528,1.188212,1.258705,1.336292
UNI,5,0.4,45.6,F,R,1.68129,1.873067,1.490287,1.388378,1.217499,1.285226,1.2927
UNI,6,3.5,48.7,F,R,1.580884,1.790271,1.551755,1.390791,1.247316,1.230132,1.379859
UNI,7,6.7,51.9,F,R,1.786106,1.821092,1.577409,1.427391,1.238494,1.266698,1.39326
UNI,8,9.7,54.9,F,R,1.600665,1.884286,1.533992,1.433706,1.23607,1.319342,1.417168
UNI,9,13.7,58.9,F,R,1.535366,1.929536,1.541927,1.419923,1.253637,1.252612,1.396727
UNI,10,15.9,61.1,F,R,1.076948,1.805259,1.540727,1.458523,1.266259,1.29556,1.433014
UNI,11,19.2,64.4,F,R,1.684019,1.778401,1.522901,1.374617,1.200173,1.267181,1.374795
VIK,1,-19.7,36.2,M,R,1.833972,1.943947,1.595473,1.522398,1.249133,1.198377,1.265852
