"","anterior_cingulate_gyrus_contra_mature","orbital_frontal_cortex_contra_mature","lateral_prefrontal_cortex_contra_mature","motor_cortex_contra_mature","somatosensory_cortex_contra_mature","superior_parietal_lobule_contra_mature","inferior_parietal_lobule_contra_mature","posterior_medial_cortex_contra_mature","medial_temporal_lobe_contra_mature","temporal_pole_contra_mature","inferior_temporal_cortex_contra_mature","superior_temporal_region_contra_mature","core_and_belt_areas_of_auditory_cortex_contra_mature","floor_of_the_lateral_sulcus_contra_mature","middle_temporal_area_contra_mature","extrastriate_visual_areas_2_4_contra_mature","primary_visual_cortex_contra_mature"
"-35",0.136674050648358,-0.154829689459264,3.40041954351394,2.1241499449668,2.8564536589989,0.427292053821203,-0.0312142130089166,0.137706564119151,0.3283900091893,2.02605916001458,0.631796557420915,1.76985796861872,0.722550554724893,0.699332134344913,0.400619504573851,0.324984164286692,0.923816429447748
"-25",0.13648750931058,-0.473524141994315,2.61952686384965,1.54933913212107,1.60100784626466,0.359673898377883,-0.0312248242684592,0.13751718098712,0.52746413219597,1.98582534329572,0.627829948978298,1.12857516345803,0.527815026929445,0.603238985009369,0.399020948818093,0.323931438231242,0.915360181684456
"-15",0.136301470441552,-1.10103553927186,0.956814479026969,1.16764376223029,0.598559857947022,0.195435602186974,-0.0312360031011816,0.137328309684739,0.71854007084007,1.94715866185359,0.623912836561855,0.455253401534283,0.198436605428237,0.330062751688684,0.397435099506092,0.322885510167021,0.907057339949029
"-5",0.136115931175945,-1.64355764498276,-1.12359567967437,0.409421840822214,0.304145149288651,0.062689362245639,-0.0312467843614239,0.137139952622256,1.14929261347281,1.90996914598991,0.620044299705343,0.0780015110157805,-0.0551832360648642,-0.204432374550953,0.395861805740637,0.321846314524376,0.898903767326321
"5",0.135930897102486,-2.0462653998806,-3.29730425532944,-0.508984128830421,0.243011889145061,-0.00990263598133989,-0.0312570648406094,0.13695211494274,2.04478984526656,1.87417308772769,0.616223439001139,-0.73297330942855,-0.305117677708093,-0.727865911246416,0.394300918996733,0.320813786603548,0.89089547431436
"15",0.135746371891447,-2.27899709241577,-4.44821367494975,-0.885291850687038,0.057105654125192,-0.0655589335630855,-0.0312671267162308,0.136764798920247,2.43332812839113,1.83969394548652,0.61244938069498,-1.32970623527953,-0.438329892115427,-0.871039001663363,0.392752293092407,0.319787862783838,0.88302861235429
