mature,eff_dim,ID
31.5975342465753,12.0010768489707,All
30.8709589041096,12.1669174528764,All
31.0605479452055,12.3584185011967,All
32.2660273972603,11.1380589595036,All
31.5427397260274,9.80724126075724,All
32.5421917808219,10.9601616260391,All
30.7745205479452,12.8617299690334,All
31.6950684931507,11.4814991801187,All
31.4715068493151,11.1600595589964,All
31.6621917808219,9.80603026905604,All
31.4605479452055,11.5280730458195,All
31.8090410958904,10.2039969144497,All
31.6720547945206,12.0675211758285,All
30.9060273972603,9.80094519366149,All
31.9186301369863,9.78607538710073,All
32.138904109589,10.2519822466302,All
31.4802739726027,12.775828182408,All
30.8293150684931,12.8626895709806,All
30.9860273972603,12.4935350542907,All
31.1186301369863,12.9581723616382,All
30.7986301369863,10.00120402891,All
32.0117808219178,10.6770054636478,All
31.6709589041096,9.363156763607,All
30.7065753424658,10.6706409829039,All
30.9542465753425,12.1432746147746,All
31.8430136986301,11.0998467916567,All
31.4671232876712,10.751258223286,All
32.1750684931507,10.7069740109666,All
32.2605479452055,10.5548320553226,All
30.6802739726027,11.2748033508379,All
30.3854794520548,12.090610324247,All
31.1175342465753,10.4743606867627,All
31.7882191780822,9.25568673480496,All
31.7728767123288,11.716735145401,All
30.7931506849315,11.3036991010543,All
31.4769863013699,11.8836240828747,All
30.8928767123288,11.8055579727923,All
31.0715068493151,10.2139272327685,All
31.7378082191781,11.7623211622736,All
30.4983561643836,11.4541208289222,All
31.4978082191781,11.1510684185708,All
31.5975342465753,11.7717723900483,All
31.5098630136986,13.5591489526352,All
31.5942465753425,12.6697400691044,All
31.6556164383562,10.8453956520146,All
31.6556164383562,9.18173760825578,All
31.0528767123288,11.7342383717515,All
30.3460273972603,10.8040629814199,All
30.7219178082192,11.8993447920933,All
30.6758904109589,10.5368736800913,All
36.4424657534247,12.8845854688887,All
36.461095890411,12.3692711455185,All
36.0282191780822,12.7549657546461,All
35.7586301369863,11.3946725427555,All
36.3493150684931,12.7647203546764,All
35.153698630137,12.9914639302278,All
35.5339726027397,12.9667273590296,All
36.381095890411,12.9247438671798,All
36.0534246575342,11.3343289010362,All
35.9230136986301,12.3279744757192,All
35.7586301369863,13.2690102596596,All
36.3416438356164,12.5827204913388,All
35.9131506849315,13.3978251098543,All
35.7717808219178,12.0318517062801,All
36.086301369863,13.599444591117,All
35.0956164383562,12.5641197121292,All
36.6265753424657,10.9975909401198,All
35.5186301369863,11.4839418766387,All
35.6786301369863,13.2551474410725,All
35.7586301369863,13.0589589146935,All
36.0928767123288,12.1709588911533,All
36.1695890410959,13.3794793115716,All
35.9306849315068,13.3248605516271,All
36.9027397260274,13.6155651773692,All
36.4424657534247,12.9118500530037,All
36.0567123287671,12.4127127114203,All
36.5432876712329,11.538478677734,All
36.2101369863014,12.5809857549434,All
35.8221917808219,11.2658387160953,All
35.7049315068493,10.2313324601881,All
36.7427397260274,11.9697524070997,All
35.4791780821918,11.7856004230251,All
35.6205479452055,13.1597590127461,All
