"predictor","fit","model_name"
-30.90410959,585.837100152308,"anterior_cingulate_gyrus_contra"
-30.4209215451515,586.237127263767,"anterior_cingulate_gyrus_contra"
-29.937733500303,586.640677791422,"anterior_cingulate_gyrus_contra"
-29.4545454554545,587.047747770599,"anterior_cingulate_gyrus_contra"
-28.9713574106061,587.458286740383,"anterior_cingulate_gyrus_contra"
-28.4881693657576,587.872120634371,"anterior_cingulate_gyrus_contra"
-28.0049813209091,588.289047182525,"anterior_cingulate_gyrus_contra"
-27.5217932760606,588.708864091241,"anterior_cingulate_gyrus_contra"
-27.0386052312121,589.131369066915,"anterior_cingulate_gyrus_contra"
-26.5554171863636,589.556359815944,"anterior_cingulate_gyrus_contra"
-26.0722291415152,589.983627518923,"anterior_cingulate_gyrus_contra"
-25.5890410966667,590.412926436999,"anterior_cingulate_gyrus_contra"
-25.1058530518182,590.843996353859,"anterior_cingulate_gyrus_contra"
-24.6226650069697,591.276555237026,"anterior_cingulate_gyrus_contra"
-24.1394769621212,591.710304653659,"anterior_cingulate_gyrus_contra"
-23.6562889172727,592.144945770574,"anterior_cingulate_gyrus_contra"
-23.1731008724242,592.580179704194,"anterior_cingulate_gyrus_contra"
-22.6899128275758,593.015702172608,"anterior_cingulate_gyrus_contra"
-22.2067247827273,593.451198752954,"anterior_cingulate_gyrus_contra"
-21.7235367378788,593.886350774895,"anterior_cingulate_gyrus_contra"
-21.2403486930303,594.320828784008,"anterior_cingulate_gyrus_contra"
-20.7571606481818,594.754296898045,"anterior_cingulate_gyrus_contra"
-20.2739726033333,595.186418816529,"anterior_cingulate_gyrus_contra"
-19.7907845584848,595.616856206922,"anterior_cingulate_gyrus_contra"
-19.3075965136364,596.045262736658,"anterior_cingulate_gyrus_contra"
-18.8244084687879,596.471282478744,"anterior_cingulate_gyrus_contra"
-18.3412204239394,596.894548823241,"anterior_cingulate_gyrus_contra"
-17.8580323790909,597.314686921978,"anterior_cingulate_gyrus_contra"
-17.3748443342424,597.731310844393,"anterior_cingulate_gyrus_contra"
-16.8916562893939,598.144031147634,"anterior_cingulate_gyrus_contra"
-16.4084682445455,598.552458387139,"anterior_cingulate_gyrus_contra"
-15.925280199697,598.956203118348,"anterior_cingulate_gyrus_contra"
-15.4420921548485,599.354872656231,"anterior_cingulate_gyrus_contra"
-14.95890411,599.748050338171,"anterior_cingulate_gyrus_contra"
-14.4757160651515,600.135306348756,"anterior_cingulate_gyrus_contra"
-13.992528020303,600.516208130806,"anterior_cingulate_gyrus_contra"
-13.5093399754545,600.890322965306,"anterior_cingulate_gyrus_contra"
-13.0261519306061,601.257221113807,"anterior_cingulate_gyrus_contra"
-12.5429638857576,601.616478531802,"anterior_cingulate_gyrus_contra"
