ID,session,mature,age,sex,hemi,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra
TRI,8,3.2,53.7,F,L,123.5893,122.3907,922.8338,469.1723,340.8444,204.8334,65.12528
TRI,9,7.2,57.7,F,L,135.9372,123.7019,939.916,468.6907,335.4109,214.1267,64.02286
TRI,10,9.3,59.8,F,L,130.3551,119.2953,930.1608,457.8697,328.7671,211.5757,66.11562
TRI,11,12.7,63.2,F,L,129.8497,105.9502,919.6805,448.8044,321.7661,209.5048,62.69199
UNI,1,-13.1,32.1,F,R,126.7408,113.1333,878.5515,407.6581,268.2179,152.1416,61.41733
UNI,2,-9.2,36,F,R,114.6676,99.46359,847.5511,391.5555,274.433,143.775,60.6162
UNI,3,-5.6,39.6,F,R,104.4071,96.06197,848.9891,397.48,270.1223,146.9151,58.37429
UNI,4,-2.8,42.4,F,R,116.6873,117.6596,881.791,400.8149,267.6961,150.6004,59.11268
UNI,5,0.4,45.6,F,R,129.9803,114.1556,880.4026,399.4852,272.882,152.6138,57.47939
UNI,6,3.5,48.7,F,R,126.1753,106.3455,887.7302,396.8468,282.723,146.3869,56.11616
UNI,7,6.7,51.9,F,R,114.4787,115.0035,855.7655,385.8851,261.8972,151.6545,57.21521
UNI,8,9.7,54.9,F,R,116.9862,113.3682,871.1808,398.6652,267.8949,143.8947,56.3355
UNI,9,13.7,58.9,F,R,131.711,123.2825,905.817,404.6331,281.6567,155.5065,60.80414
UNI,10,15.9,61.1,F,R,171.1492,118.9708,885.4806,397.9117,269.9196,144.036,57.07999
UNI,11,19.2,64.4,F,R,125.6715,105.7286,837.6663,379.9571,265.2496,144.231,55.63175
VIK,1,-19.7,36.2,M,R,128.4627,131.1546,977.4271,427.0685,304.314,174.7482,61.99706
VIK,2,-15.7,40.1,M,R,109.405,90.62251,870.4061,405.9112,298.0236,167.6921,62.047
VIK,3,-12.2,43.6,M,R,113.3616,94.59389,881.8613,405.4727,291.1587,173.1376,59.2045
VIK,4,-9.4,46.5,M,R,126.172,124.0069,959.0525,423.253,293.2081,172.7229,57.1369
VIK,5,-6.1,49.7,M,R,133.7617,106.8661,905.2548,403.3441,291.1322,166.8462,57.81247
VIK,6,-3.1,52.7,M,R,159.5773,119.853,937.8159,415.4711,302.0691,165.0661,60.72627
VIK,7,0.1,56,M,R,132.1008,127.865,941.3066,425.5107,298.7892,168.562,65.37756
VIK,8,3.1,59,M,R,129.1077,124.9437,946.1596,422.1295,294.5903,168.6205,60.61633
VIK,9,7.2,63,M,R,128.7332,131.2383,960.3092,429.0008,307.7615,160.1311,62.17157
VIK,10,9.3,65.2,M,R,132.4277,137.8329,969.4389,430.5751,300.2404,167.9479,61.56243
VIK,11,12.7,68.5,M,R,140.6435,122.2661,938.3822,408.65,288.0102,159.1134,58.91261
