d,mature,ID,r2,fixrate,age
0.00871874,2.82739726,SON,0.508673154,5.671875,57.53424658
0.012554971,2.268493151,SON,0.577817287,3.546875,56.97534247
0.012858012,-13.38082192,ROS,0.644642857,1,52.66849315
0.014183319,-8.252054795,TRI,0.54970569,6.677083333,41.55616438
0.032059134,10.15890411,OLI,0.593429158,2.785714286,69.23835616
0.045606534,-18.90410959,PIC,0.807555677,4.934027778,58.65205479
0.056092769,-13.38082192,ROS,0.666666667,0.5125,52.66849315
0.065921708,1.282191781,ROS,0.523103209,6.285714286,67.33150685
0.070825536,10.42191781,UNI,0.769865248,19.03125,55.00273973
0.075188186,2.301369863,SON,0.636363636,1.03125,57.00821918
0.086157225,-4.109589041,VIK,0.523573826,2.237847222,50.95890411
0.086183622,11.53972603,TRI,0.618517287,0.75,61.34794521
0.095207852,-8.416438356,SON,0.552486188,1.125,46.29041096
0.099326307,-9.17260274,VIK,0.536426914,2.140625,45.89589041
0.10167795,2.071232877,SON,0.524159349,1.263888889,56.77808219
0.103444112,7.890410959,SON,0.516129032,2.234375,62.59726027
0.104280213,-8.153424658,QUA,0.817567568,0.75,48.32876712
0.105014502,7.397260274,VIK,0.578057683,0.756944444,62.46575342
0.110751685,-2.597260274,ROS,0.644101877,2.791666667,63.45205479
0.111348121,2.268493151,SON,0.6328125,0.578125,56.97534247
0.112124059,11.30958904,TRI,0.635743243,2.8125,61.11780822
0.117393376,7.134246575,SON,0.994117647,0.640625,61.84109589
0.117468585,7.232876712,VIK,0.508653846,0.541666667,62.30136986
0.118472172,15.94520548,UNI,0.704166667,2.1875,60.5260274
0.118785083,10.1260274,OLI,0.726109063,1.120833333,69.20547945
0.120792447,-8.18630137,QUA,0.599597122,2.072916667,48.29589041
0.125361808,-17.3260274,ROS,0.553846154,1.375,48.72328767
0.12584218,-19.62739726,ROS,0.644736842,0.609375,46.42191781
0.126511547,-5.884931507,UNI,0.922666425,1.03125,38.69589041
0.127974017,5.326027397,OLI,0.640798226,1.019097222,64.40547945
0.131027858,-19.59452055,ROS,0.922439759,1.21875,46.45479452
0.131564405,16.37260274,UNI,0.644736842,4.767857143,60.95342466
0.131730956,-10.32328767,SON,0.578125,0.895833333,44.38356164
0.132047759,16.17534247,UNI,0.794380252,2.666666667,60.75616438
0.13207726,2.268493151,SON,0.644736842,0.546875,56.97534247
0.132782275,-19.59452055,ROS,0.790998053,6.421875,46.45479452
0.132938993,15.97808219,UNI,0.630472562,0.548611111,60.55890411
0.133408514,1.282191781,ROS,0.73391508,0.743303571,67.33150685
0.133759501,16.24109589,UNI,0.808691406,5.78125,60.82191781
0.133946363,16.93150685,UNI,0.545376712,3.28125,61.51232877
0.134113468,5.35890411,OLI,0.856669897,6.333333333,64.43835616
0.135745937,-3.090410959,ROS,0.65470297,4.03125,62.95890411
0.136627199,-24.46027397,PIC,0.806402439,2.09375,53.09589041
0.13718487,-17.81917808,ROS,0.576470588,2.328125,48.23013699
0.137602476,4.865753425,UNI,0.583811236,3.444196429,49.44657534
0.138183156,-3.254794521,VIK,0.75756744,1.022569444,51.81369863
0.139212604,-3.156164384,SON,0.523125324,1.387152778,51.55068493
0.139838248,11.86849315,VIK,0.628772636,3.5,66.9369863
0.140372283,-2.597260274,ROS,0.75,2.083333333,63.45205479
0.14075563,-14.1369863,PIC,0.519230769,1.5,63.41917808
0.140777663,5.128767123,UNI,0.593858603,4.148809524,49.70958904
0.140787784,16.60273973,UNI,0.78125,0.645833333,61.18356164
0.141034992,16.17534247,UNI,0.558007117,10.27083333,60.75616438
0.141061483,11.86849315,VIK,0.8125,0.796875,66.9369863
0.141512312,-14.07123288,PIC,0.658173077,1.046875,63.48493151
0.141524255,-7.989041096,TRI,0.822773972,0.9625,41.81917808
0.141533294,-14.03835616,PIC,0.691691154,6.745535714,63.51780822
0.141832033,0.032876712,OLI,0.525607997,2.234375,59.11232877
0.141890607,2.071232877,SON,0.609167209,3.329861111,56.77808219
0.142363208,-3.287671233,ROS,0.657608695,0.671875,62.76164384
0.142363208,-8.547945205,ROS,0.657608695,0.703125,57.50136986
0.143022783,0.493150685,TRI,0.787371397,1.006944444,50.30136986
0.143093593,-8.153424658,QUA,0.5329,4.5625,48.32876712
0.143563637,11.86849315,VIK,0.509567388,2.265625,66.9369863
0.143635526,2.071232877,SON,0.564796857,3.321180556,56.77808219
0.144030482,-2.926027397,SON,0.765931373,1.03125,51.78082192
0.144079927,16.17534247,UNI,0.595238095,1.520833333,60.75616438
0.144371245,-9.17260274,VIK,0.540347293,2.265625,45.89589041
0.144626539,-2.991780822,SON,0.728764333,7.015625,51.71506849
0.144628575,-20.31780822,PIC,0.878328116,2.218055556,57.23835616
0.144662865,5.030136986,OLI,0.509004237,1,64.10958904
0.145339609,2.531506849,SON,0.781831028,7.949652778,57.23835616
0.145516137,-15.02465753,PIC,0.657608696,1.015625,62.53150685
0.145792729,-7.989041096,TRI,0.827863712,2.625,41.81917808
0.146014074,2.564383562,SON,0.515318627,1.5,57.27123288
0.146306745,-10.84931507,OLI,0.854982206,0.95,48.23013699
0.147184542,10.71780822,UNI,0.660644148,12.90625,55.29863014
0.147927474,6.082191781,TRI,0.610590928,5.520833333,55.89041096
0.148097346,-3.254794521,SON,0.524637104,0.725446429,51.45205479
0.148550211,5.490410959,OLI,0.828004808,2.325,64.56986301
0.14891581,-12.62465753,OLI,0.847487277,0.5625,46.45479452
0.149355191,-20.28493151,PIC,0.773753192,2.267361111,57.27123288
0.149600435,7.62739726,SON,0.611160714,0.59375,62.33424658
0.150519683,-19.62739726,ROS,0.569237918,2.015625,46.42191781
0.150627009,1.084931507,ROS,0.501491646,3.274305556,67.13424658
0.152396829,16.24109589,UNI,0.876041667,9.484375,60.82191781
0.153898668,2.071232877,SON,0.532084642,5.162946429,56.77808219
0.154014744,-6.805479452,QUA,0.908261631,3.091666667,49.67671233
0.15469279,-5.030136986,OLI,0.507677543,0.590277778,54.04931507
0.155349021,-14.03835616,PIC,0.808653846,4.4375,63.51780822
0.155823739,11.80273973,TRI,0.520833333,0.583333333,61.6109589
